irrational,"n. 无理数
a. 无理性的, 不合理的"
noteworthy,"a. 值得注目的, 显著的"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
deprecatory,"a. 不赞成的, 反对的, 贬低的, 恳求宽恕的"
detracting,"v. 毁损, 贬低, 减损( detract的现在分词 )"
self-deprecating,"a. 自贬的, 谦虚的"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
unidimensional,[计] 一维的
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
genuine,"a. 真正的, 真实的, 诚恳的
"
legitimacy,"n. 合法, 正统, 正当
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
tenacity,"n. 固执, 不屈不挠, 顽固, 黏性, 韧性
"
enduring,"a. 持久的, 忍耐的"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
elemental,"a. 元素的, 基本的"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
dissimilar,"a. 不同的, 相异的"
diverse,"a. 不同的, 变化多的"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
generative,"a. 生殖的, 生产的, 有生殖力的
"
degeneracy,"n. 退步, 退化, 堕落
"
decadence,n. 颓废
degenerative,"a. 退步的, 退化的, 变质的
"
specificity,"n. 特异性, 专一性, 特殊性, 特性, 特征
"
selective,"a. 选择的, 选择性的
"
wide-ranging,a. 范围或内容广泛的
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
novice,"n. 新手, 初学者"
neophyte,"n. 新入教者, 新信徒"
demonstrable,a. 可论证的
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
predictable,a. 可预言的
foreseeable,"a. 可预知的, 能预测的
"
unpredictable,a. 不可预知的
unpredictability," 不可预测性, 不可预知性"
predictive,"a. 预言性的, 成为前兆的"
indeterminate,"a. 不明确的, 不确定的, 含混的
"
forbearance,"n. 节制, 自制, 忍耐
"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
hinder,"a. 后面的
v. 阻碍, 打扰"
stymie,"n. (喻)困难的境地
vt. 使(球)处于困难的位置, 使为难, 使处困境, 妨碍, 阻挠, 阻碍"
guarded,"a. 被防护着的, 被监视着的, 警戒着的"
discontinuity,"n. 间断, 中断, 不连续
"
unsustainable,"a. 无法支撑的, 不能忍受的, 不可证实的
"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
sustainability,"n. 持续性, 能维持性, 永续性"
symmetry,"n. 对称, 匀称
"
expansionist,"a. (关于)扩张主义的, 赞同扩张主义的
n. 扩张主义者, 领土扩张论者"
customary,"a. 习惯的, 惯常的
"
quantify,"vt. 定量, 用数量表示, 测量"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
quantifiable,a. 可以计量的
quantitative,"a. 数量的, 定量的
"
qualitative,"a. 性质的, 质的, 定性的"
enrich,"vt. 使富足, 使肥沃"
glorification,n. 美化了的东西
sparkling,"a. 闪闪发光的, 闪烁的, 闪烁着才华的"
inattention,"n. 不注意, 粗心, 疏忽"
untested,"a. 未经试验的, 未经考验的"
easygoing,"a. 脾气随和的, 逍遥自在的, 悠闲的, 懒散的"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
overextend,"vt. 过分扩展, 过分延长"
surpass,"vt. 超越, 凌驾, 胜过"
timeless,"a. 无时间限制的, 不受时间影响的, 永恒的"
clarity,"n. 清楚, 明晰
"
breakthrough,"n. 突破
"
conservatism,"n. 保守, 守旧性, 保守主义, "
quiescence,"n. 静止, 不活动, 寂静
"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
unobservant,"a. 不注意的, 不遵守的
"
honorific,"a. 尊敬的, 表示敬意的, 敬称的
n. 敬语"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
established,"a. (被)建立的, 固定的, 既定的, 确定的, 确认的, 确立的, (被)制定的
"
absorbing,"a. 吸引人的, 非常有趣的
"
fruitless,"a. 不结果的, 不长果实的, 无子的"
constructive,"a. 建设性的, 构造上的
"
practical,"a. 实际的, 现实的, 实用性的
"
amicable,"a. 友善的, 友好的
"
agreeable,"a. 令人愉快的, 同意的
"
agreeable,"a. 令人愉快的, 同意的
"
amicable,"a. 友善的, 友好的
"
rankle,"vi. 化脓, 怨恨
vt. 使怨恨"
gall,"n. 胆汁, 五倍子, 苦味, 肿痛, 恼怒, 磨损处
vt. 烦恼, 屈辱, 磨伤
vi. 被磨伤"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
exaggerate,"v. 夸大, 夸张"
decisive,"a. 决定性的, 坚定的, 果断的"
unmistakable,"a. 不会弄错的, 不会被误解的, 不会搞错的, 明白无误的, 清楚明白的"
codify,"vt. 编成法典
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
realism,"n. 写实主义, 现实, 实在论
"
underrate,"vt. 低估, 对...估计过低, 看轻"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
delightful,"a. 令人愉快的, 可爱的"
universality,"n. 普遍性, 一般性, 广泛性
"
informative,"a. 提供消息的, 见闻广博的"
sequential,"a. 继续的, 后果的
"
secondhand,"a. 间接获得的, 旧的, 二手的, 做旧货买卖的
adv. 间接地, 间接听来, 以旧货"
monger,"n. 商人, ...商, ...贩
vt. 贩卖, 传播"
scaremonger,"n. 散布谣言的人, 危言耸听者"
platitudinous,"a. 平凡的, 陈腐的, 老生常谈的"
intoxication,"n. 使醉, 沉醉状态
"
tractable,"a. 驯服的, 易于管教的
"
compliant,"a. 顺从的, 屈从的
"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
invalidate,"vt. 使无效
"
validity,"n. 有效性, 正确性
"
evidentiary,"a. 证据的, 根据证据的"
warmhearted,"a. 热心肠的, 友好的, 温情的, 亲切的"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
meld,"v. 混合, 合并"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
dovish,"a. 鸽派的, 温和派的"
pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
trepidation,"n. 恐惧, 惊惶, 忧虑
"
apprehension,"n. 理解, 忧惧, 逮捕
"
intrepid,"a. 无畏的, 勇猛的"
fearless,"a. 大胆的, 勇敢的, 无畏的"
immediacy,"n. 直接, 目前, 迫切需要的事物"
formality,"n. 礼节, 拘谨, 正式手续
"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
continuous,"a. 连续的, 继续的, 连续不断的
"
regularity,"n. 规则性, 匀整, 正规, 经常
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
uncontrollable,"a. 无法控制的
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
endangered,a. 有生命危险的；濒临灭绝的
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
cowardice,n. 懦弱
measured,"a. 整齐的, 慎重的, 基于标准的"
conditional,"a. 有条件的, 有前提的
"
isolationism,n. 孤立主义
long-winded,"a. 气息长的, 冗长的, 罗唆的"
rambling,"a. 漫步的, 布局零乱的, 散漫的"
blameless,"a. 无可责难的, 无过失的, 清白的"
celebrate,"v. 庆祝, 祝贺, 举行"
celebrated,"a. 驰名的, 有名的"
renowned,"a. 有名的, 有声誉的"
celebrity,"n. 名声, 名人"
dilemma,"n. 困境, (进退两难的)窘境"
quandary,"n. 困惑, 迷惑, 为难"
quash,"vt. 撤销, 平息, 镇压
"
oppressive,"a. 压制性的, 压迫的, 沉重的"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
politic,"a. 精明的, 明智的, 策略的"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
unease,n. 不安
commitment,"n. 委托, 交押, 承担义务, 赞助
"
committed,"a. 献身于某种事业的
"
conclusive,"a. 决定性的, 确定性的, 最后的
"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
mystify,"vt. 使神秘化, 使难解, 迷惑
"
manipulation,"n. 操作, 处理
"
definitive,"n. 限定词
a. 限定的, 决定性的"
naturalism,"n. 自然主义, 本能行动"
oversell,"vt. 销售过多, 卖空, 过分吹嘘
vi. 卖空, 吹嘘过分"
opulence,"n. 富裕, 丰富, 大量"
affluence,"n. 富裕, 丰富, 流注
"
variance,"n. 不一致, 变化, 变异, 分歧, 不和
"
disparity,"n. 不一致
"
fluctuation,"n. 变动, 波动, 动摇
"
cagey,"a. 狡猾的, 机警的, 有戒心的, 不敢表态的, 小心谨慎的, 不甚友善的"
repetitious,"a. 多次反复的, 重复的, 反复性的"
rote,"n. 机械性的背诵, 死记硬背"
worsen,"vt. 使更坏, 使恶化
vi. 变得更坏, 恶化"
reinvent,vt. 重新使用；彻底改造；重复发明（在不知他人已发明的情况下）
impair,"vt. 损害, 减少, 削弱
"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
vitiate,"vt. 使变质, 污染, 使堕落, 败坏, 使失效
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
wastrel,"n. 浪费者, 饭桶, 浪子, 废品, 流浪者"
curative,"a. 治病的, 有疗效的
n. 药物, 治疗法"
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
apprehension,"n. 理解, 忧惧, 逮捕
"
trepidation,"n. 恐惧, 惊惶, 忧虑
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
misapprehend,"vt. 误会, 误解"
outmoded,"a. 过时的, 废弃的
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
cite,"vt. 引用, 引证, 表彰
"
overload,"vt. 超载, 过载, 超过负荷
n. 超载, 负荷过多"
uncontested,"a. 没有人争的, 无竞争的, 明显的
"
diligence,n. 勤奋
pathos,"n. 伤感力, 感伤, 悲怅, 同情, 偶然因素, 哀婉动人的词句"
tendentious,"a. 有偏见的, 有倾向的, 淘气的"
willingness,"n. 乐意, 心甘情愿, 愿意"
diversify,"vt. 使多样化, 使变化"
diversity,"n. 差异, 多样性
"
heterogeneity,"n. 异种, 异质, 不同成分
"
nonchalant,"a. 不关心的, 冷淡的, 无动于衷的"
devotion,"n. 热爱, 投入"
predetermine,"vt. 预先决定, 预先查明
"
alarmist,"n. 轻事重报者, 杞人忧天者"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
accepted,"a. 公认的, 一般承认的
"
ritualize,vt. 使仪式化
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
durability,"[计] 耐久性, 耐用性, 持久性"
unrealistic,"a. 不切实际的, 幻想的"
confound,"vt. 使混淆, 使狼狈, 挫败"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
flummox,"vt. 使狼狈, 使失措, 使混乱, 挫败
n. 失败"
confounding,n. 混杂；混淆
perplexing,"a. 令人费解的, 令人困惑的"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
flummoxed,"v. <口>使困惑, 使慌乱( flummox的过去式和过去分词 )"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
successor,"n. 继承者, 接任者
"
reliant,"a. 依赖的, 信赖的"
preside,"vi. 统辖, 当主人, 主持
"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
applaud,"v. 拍手喝彩, 称赞, 赞同"
imitable,a. 可模仿的
ape,"n. 无尾猿
"
envision,"vt. 想象, 预想"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
"
convolution,"n. 回旋, 卷绕, 盘旋
"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
disparage,"vt. 蔑视, 贬损
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
mishandle,"vt. 虐待, 胡乱处理"
irreverent,"a. 不敬的, 不逊的, 无礼的"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
dilettante,"n. 业余爱好者
a. 外行的, 浅薄的"
constitute,"vt. 构成, 组成, 任命
"
exorbitant,"a. 过度的, 过高的, 过分的"
perspicacity,"n. 聪颖, 聪明, 睿智, 洞察力"
discernment,"[法] 认识, 识别, 洞察力"
rile,"vt. 搅浑, 惹怒, 使焦急"
serviceable,"a. 有用的, 耐用的
"
unperturbed,"a. 未受扰乱的, 平静的, 镇定的"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
disinformation,n. 假情报
mendacity,"n. 虚伪, 谎话, 说谎癖
"
egotism,"n. 自我中心癖, 自负
"
profligacy,"n. 放荡, 不检点, 浪费"
unconscionable,"a. 不受良心支配的, 不合理的, 过度的"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
deaden,"vt. 使减弱, 使麻木
vi. 减弱"
untoward,"a. 事与愿违的, 麻烦的, 困难的, 不幸的"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
ascent,"n. 上升, 提高, 攀登, 上坡路"
qualm,"n. 晕眩, 不安, 疑虑
"
expatriate,"n. 移居国外者, 侨民, 被流放者, 背井离乡者
vt. 逐出国外, 脱离国籍, 放逐
vi. 移居国外"
scornful,a. 轻蔑的
epitome,"n. 概要, 缩影, 象征"
good-natured,"和善的,仁慈的,好性情的"
commercialism,"n. 商业主义, 商业精神, 利润第一主义, 商业习惯, 商业用语
"
emotive,"a. 使感动的, 动感情的, 感情的
"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
breeding ground,n. 滋生地
evince,"vt. 表明(感情等), 表示出(特性等)"
aggression,"n. 侵犯, 侵略
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
uniformity,"n. 无差异, 同样, 划一, 一致
"
uniformly,"adv. 一样, 一致, 相同, 一直不变, 一贯, 始终如一, 均质, 一律, 均匀
"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
certitude,"n. 确实性, 确信"
indulgence,"n. 沉溺, 放纵, 嗜好
"
apologist,"n. 辩护者, 教义辩护文作者
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
escapist,"a. 逃避现实的
n. 逃避现实者"
morph,"[计] 形态, 词态"
outdo,"vt. 超越, 胜过, 战胜"
belligerence,"n. 交战, 好战性, 斗争性"
pugnacity,n. 好斗
addiction,"n. 入迷, 瘾
"
demonize,vt. 使成为魔鬼
obsess,"vt. 迷住, 使困扰"
localize,"vt.vi. 使地方化, 使具有地方性, 使限制于局部, 确定起源, 集中, 局限
"
unsettle,"vt. 使移动, 搅乱, 使动摇, 使不安宁
vi. 动荡不定, 离开固定位置"
demographic,"a. 人口统计的
"
rife,"a. 流行的, 盛传的, 充满的"
atrocious,"a. 残暴的, 凶恶的"
soft-pedal,"钢琴弱音踏板, 减弱效果的东西"
prioritize,"vt. 按优先次序列出, 优先考虑"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
predator,"n. 食肉动物, 掠夺者
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
comparable,"a. 可比较的, 比得上的"
analogous,"a. 类似的, 相似的
"
absolve,"vt. 宣告...无罪, 赦免, 免除
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
abased,"vt. 打倒
n. 诺谟图
n. (Abas)人名；(阿拉伯、印尼、伊朗、哈萨、吉尔、塔吉、乌兹、阿塞、土库、科摩、俄)阿巴斯"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
comforting,"a. 安慰的, 令人鼓舞的"
disturbing,"a. 引起烦恼的, 令人不安的"
tragic,"a. 悲惨的, 悲剧的"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
point to,指向
solidify,"v. (使)凝固, (使)团结, 巩固"
solitude,"n. 孤独, 单独, 孤寂"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
frustrating,a. 令人沮丧的
frustration,"n. 挫折, 顿挫
"
synopsis,"n. 概要, 摘要, 大意
"
synopses,"提要, 梗概, 概要"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
concentration,"n. 集中, 专心
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
realm,"n. 王国, 领土, 领域
"
advent,"n. 来到, 来临"
in the midst of,在...之中
albeit,"conj. 尽管, 虽然"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
liken,"vt. 比喻, 比拟"
scruple,"n. 踌躇, 犹豫, 微量
vi. 踌躇, 有顾忌"
might,"n. 力量, 权力
aux. 可能, 也许"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
romanticize,"vi. 有浪漫思想, 以浪漫方式行事, 以浪漫风格描写
vt. 使浪漫化"
pagan,"n. 异教徒, 无宗教信仰者
a. 异教的, 异教徒的"
paganism,"n. 异教徒, 异教信仰, 偶像崇拜"
per se,"adv. 本身, 本质上"
tier,"n. 排, 层, 等级"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
nucleus,"n. 核心, 核子, 原子核, 起点
"
emancipate,"vt. 释放, 解放"
seizure,"n. 捕获, 夺取, 占领, 捕获物, 没收, 充公
"
arid,"a. 干燥的, 不毛的"
splinter,"n. 碎片, 尖片, 分裂出来的小派别, 微小的东西
v. 使分裂, (使)破裂"
sediment,"n. 沉淀物, 沉积
"
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
utterly,"adv. 完全地, 全然, 绝对"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
metaphysical,"a. 形而上学的, 纯粹哲学的, 抽象的"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
indigenous,"a. 本土的, 国产的, 固有的
"
meritorious,"a. 有功绩的, 有价值的, 可称赞的
"
chunk,"n. 大块, 矮胖的人(或物)
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
manumit,"vt. 解放, 释放"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
propound,"vt. 提出供考虑
"
inextricable,"a. 逃脱不掉的, 解不开的, 无法解决的"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
circulation,"n. 流通, 循环, 发行量
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
deduction,"n. 减除, 扣除, 减除额, 推论
"
taxon,n. 分类单元；分类学
pithy,"a. 有髓的, 由髓组成的, 简洁有力的"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
circumscribe,"vt. 在...周围画线, 限制"
restrict,"vt. 限制, 限定, 约束
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
stilted,"a. 踏上高跷的, 虚饰的, 夸大的, 夸张的, 呆板的, 不自然的, 做作的"
