actual,"a. 真实的, 实际的, 现行的
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
professional,"n. 专业人才
a. 专业的, 职业的"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
"
appal,"vt. 使惊骇, 使吓坏"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
rival,"n. 对手, 竞争者
a. 竞争的"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
Canadian,a. 加拿大的
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
abundant,"a. 丰富的, 充分的, 大量的"
arrogant,"a. 自大的, 傲慢的"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
distant,"a. 远的, 疏远的
"
dominant,"a. 占优势的, 支配的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
indignant,"a. 愤怒的, 愤慨的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
malignant,"a. 有恶意的, 恶性的, 有害的
"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
predominant,"a. 占主导地位的, 卓越的
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
redundant,"a. 多余的, 过多的, 冗长的
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
reluctant,"a. 不情愿的, 勉强的
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
convenient,"a. 方便的, 合宜的
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
decent,"a. 有分寸的, 得体的, 大方的"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
different,"a. 不同的
"
diligent,"a. 勤勉的, 用功的"
efficient,"a. 有效率的, 能干的"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
evident,"a. 显然的, 明显的"
excellent,"a. 优良的, 杰出的, 出色的"
fluent,"a. 流利的, 流畅的"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
impatient,"a. 不耐烦的, 着急的, 急切的"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
ingredient,"n. 成分, 因素
"
inherent,"a. 固有的, 与生俱来的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
intelligent,"a. 聪明的, 智能的, 了解的"
intermittent,"a. 间歇的, 断断续续的
"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
obedient,"a. 服从的, 顺从的, 孝顺的
"
Orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
prevalent,"a. 普遍的, 流行的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
subsequent,"a. 后来的, 接下去的
"
sufficient,"a. 充分的, 足够的
"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
transparent,"a. 透明的, 显然的, 清晰的
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
advisory,"a. 顾问的, 咨询的, 劝告的
"
customary,"a. 习惯的, 惯常的
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
documentary,"n. 记录片
a. 文件的"
elementary,"a. 初步的, 基本的
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
imaginary,"a. 想像的, 虚构的, 假想的"
literary,"a. 文学的, 文艺的, 精通文学的
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
monetary,"a. 货币的, 金钱的
"
necessary,a. 必要的；必然的；必需的
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
solitary,"n. 独居者
a. 孤独的, 独居的"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
compulsory,"a. 被强制的, 强迫的, 义务的
"
satisfactory,"a. 满意的, 赎罪的
"
anniversary,n. 周年纪念
boundary,"n. 边界, 分界线
"
diary,"n. 日记
"
dictionary,"n. 字典, 词典
"
February,n. 二月
January,n. 一月
library,"n. 图书馆, 藏书, 库
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
vocabulary,"n. 词汇(量), 词汇表
"
salary,"n. 薪水
vt. 给...加薪"
secretary,"n. 秘书, 书记, 大臣
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
category,"n. 种类, 类项
"
directory,"n. 目录, 工商名录, 指南
"
factory,"n. 工厂, 产生地, 代理店
"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
lavatory,"n. 洗脸盆, 厕所"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
victory,"n. 胜利, 战胜, 克服"
accelerate,"v. 加速, 促进"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accumulate,"v. 积聚, 堆积"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
aggravate,"vt. 使恶化, 使更严重, 加重"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
alleviate,"vt. 减轻, 使缓和"
allocate,"vt. 分派, 分配
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
assassinate,"vt. 暗杀, 行刺
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
calculate,"v. 计算, 预测, 计划, 打算"
celebrate,"v. 庆祝, 祝贺, 举行"
circulate,"v. (使)流通, (使)循环, (使)传播"
collaborate,"vi. 合作, 勾结
"
commemorate,vt. 纪念
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
compensate,"v. 偿还, 补偿, 付报酬"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
congratulate,"vt. 祝贺, 庆贺"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
cooperate,"vi. 合作, 协力, 配合
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
create,"vt. 创造, 建造, 引起, 任命"
cultivate,"vt. 培养, 耕作"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
decorate,v. 装饰
dedicate,"vt. 献出, 贡献"
delegate,"n. 代表
vt. 委派...为代表"
demonstrate,"vt. 示范, 证明
vi. 示威"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
deteriorate,v. (使)恶化
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
differentiate,"v. 区别, 区分"
discriminate,"v. 区别, 差别待遇"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
dominate,"v. 支配, 占优势"
donate,v. 捐赠
educate,"vt. 教育, 培养, 训练"
elevate,"vt. 举起, 提拔, 鼓舞"
eliminate,"vt. 除去, 排除, 剔除, 消除"
emigrate,"v. (使)移居, (使)移民"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
evacuate,"v. 疏散, 撤出, 排泄"
evaluate,"vt. 评估, 评价, 赋值"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
exaggerate,"v. 夸大, 夸张"
fabricate,"vt. 制造, 建造, 装配, 伪造"
facilitate,"vt. 使容易, 促进, 帮助
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
generate,"vt. 产生, 发生, 导致
"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
indicate,"vt. 显示, 象征, 指示, 指出
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
insulate,"vt. 使绝缘, 隔离
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
intimidate,"vt. 威胁, 恐吓
"
investigate,"v. 调查, 审查"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
liberate,"vt. 解放, 释放, 使自由
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
migrate,"vi. 移动, 移往, 随季节而移居
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
necessitate,"vt. 迫使, 使成为必需, 需要"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
nominate,"vt. 提名, 任命, 命名
"
operate,"v. 操作, 运转, 动手术, 活动"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
simulate,"vt. 模拟, 假装, 模仿
"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
speculate,"vi. 深思, 推测, 投机
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
tolerate,"vt. 宽容, 容许, 有耐力"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
underestimate,"n. 低估
vt. 低估, 看轻"
update,"vt. 更新, 使现代化
n. 更新
"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
fortunate,"a. 幸运的, 幸福的"
accurate,"a. 正确的, 精确的
"
adequate,"a. 适当的, 足够的
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
appropriate,"a. 适当的
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
desolate,a. 荒凉的
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
immediate,"a. 立即的, 直接的, 接近的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
up-to-date,"最近的, 最新的
"
candidate,"n. 候选人, 投考者
"
carbohydrate,"n. 碳水化合物, 糖类
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
chocolate,"n. 巧克力
a. 巧克力制的"
climate,"n. 气候, 社会趋势, 气候区
"
doctorate,n. 博士头衔
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
magistrate,"n. 长官, 法官, 推事
"
senate,"n. 参议院, 立法机构, 评议会"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
wooden,"a. 木制的, 呆笨的, 木然的"
