Abacavir,"n. 【药】阿巴卡韦
"
regeneration,"n. 再生, 重建
"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
regimen,"n. 养生法, 常规强化训练课, 体制, 情态
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
regional,"a. 地方的, 地域性的
"
registrar,"n. 记录者, 登记者, 登记官员
"
registration,"n. 登记, 挂号, 注册
"
regression,"n. 退步, 回归
"
regressive,"a. 后退的, 退化的, 回归的
"
regularity,"n. 规则性, 匀整, 正规, 经常
"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
regulation,"n. 规则, 管理, 调整
"
regulatory,"a. 受控制的, 统制的, 调整的
"
regurgitant,"[医] 回流的, 反流的"
regurgitate,"v. (使)回涌, (使)回流, (使)反胃"
regurgitation,"n. 回流, 逆流, 反刍
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
rehabilitation,"n. 复原
"
rehabilitative,"a. 使复原的, 复职的"
rehmannia,地黄
rehydration,"[医] 再水化[作用], 再水合[作用]"
reimplant, [医]再植
reimplantation,[医] 再植[入]术
reinfection,"n. 再传染, 再感染"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
"
rejoin,"vt. 使再结合, 再加入, 回答
vi. 重新聚合, 回答, 第二次答辩"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
relatedness,"n. 与…有亲戚关系, 有关系"
relationship,"n. 关系, 关联
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
relaxant,"a. 弛缓的
n. 弛缓药"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
relevance,n. 中肯；关联；相关性
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
reliability,"n. 信度, 可靠性
"
reliable,"a. 可靠的, 可信赖的
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
reluctant,"a. 不情愿的, 勉强的
"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
remarkably,"adv. 显著地, 引人注目地, 非常地"
remedial,"a. 治疗的, 补救的, 矫正的
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
remission,"n. 宽恕, 豁免, 免罪, 缓和, 减轻
"
remittent,"a. 张弛性的, 缓解的
n. 弛张热"
remodeling,n. 重塑；改建；重构（remodel进行式）
remodelling,v. 改变…的结构[形状]( remodel的现在分词 )
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
renal,"a. 肾脏的, 肾的
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
renin,"n. 肾素, 高血压蛋白原酶, 高血压蛋白的酶原
"
renogram,"n. [医]肾X光照片,肾探测图"
renography,"[医]肾X线照相术, 肾造影照片"
renovascular,a. [解][医]肾血管(性)的
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
reoperation, 再手术
re-orientation, [医]重新定向
reovirus,"n. [微]呼肠孤病毒, 呼吸道肠道病毒"
reperfusion, [医]再灌注
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
repetitive,"a. 重复的, 反复性的"
replace,"vt. 代替, 替换, 放回, 归还
"
replacement,"n. 归还, 更换, 代替者
"
replant,"vt. 改种, 在...再植, 使移居"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
replenishment,"n. 补给, 补充"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
replication,"n. 回答, 反响, 复制, 第二次答辩, 折转, 弯回
"
replicative,"a. 重复的,复制的"
repolarization,"复极化, 恢复极化"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representation,"n. 表示法, 表现, 陈述, 代表
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
reproducibility,
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
reproductive,"a. 生殖的, 再生的, 复制的
"
repulsion,"n. 击退, 排斥力, 反感
"
require,"vt. 需要, 命令, 要求
"
required,a. 必需的
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
resect,"vt. 切除, 割除
"
resectable,"a. 可切除的, 能切除的
"
resection,"n. 切除术
"
resemblance,"n. 相似处, 类似, 肖像"
resemble,"vt. 相似, 类似"
reserpine,"n. 利血平
"
reservation,"n. 保留, 预定, 保留品, 保留地
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
reshaped,a. 
reside,"vi. 住, 居留, 属于
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
residue,"n. 残渣, 剩余, 余数
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resilience,"n. 弹回, 有弹力, 恢复力
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
resonant,"a. 共鸣的, 反响的, 洪亮的, 共振的
"
resorb,v. 再吸收
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
resources,n. 资源；物力（resource的复数）
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
respiration,"n. 呼吸, 一口气, 呼吸作用
"
respirator,"n. 口罩, 防毒面具, 人工呼吸装置
"
respiratory,"a. 呼吸的
"
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
responder,"n. 回答者, 响应者, 响应器, 应答机
"
response,"n. 反应, 回答, 响应
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
responsive,"a. 回答的, 应答的, 易感应的"
restlessness,n. 坐立不安；不安定
restoration,"n. 恢复, 归还, 复位
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
restraint,"n. 抑制, 克制, 束缚
"
restrict,"vt. 限制, 限定, 约束
"
restricted,"a. 受限制的, 有限的"
restriction,"n. 限制, 限定, 约束
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
resumption,"n. 取回, 恢复, 再开始
"
resuscitate,"v. (使)复苏, (使)复兴"
resuscitation,"n. 复生, 复兴
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
retard,"n. 阻止, 延迟
vt. 妨碍, 延迟, 使减速
vi. 减速, 延迟"
retardant,"n. 抑止剂
"
retardation,"n. 迟延, 妨碍, 阻止
"
retardate,"n. 白痴, 低能者
"
retch,"vi. 作呕, 反胃
vt. 呕吐
n. 反胃, 呕吐声"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
reticulocyte,"n. 网状细胞
"
reticulocytopenia,[医] 网状细胞减少
reticulocytosis,n. [医] 网状细胞(旧名网织红血球)过多症
reticuloendothelial,"a. 网状内皮组织的
"
reticulonodular,[网络] 网目斑点状
reticulum,"n. 网状质, 网状组织, 蜂巢胃
"
retina,"n. 视网膜
"
retinal,"a. 视网膜的
"
retinitis,"n. 视网膜炎
"
retinoblastoma,n. [医] 眼癌(有遗传性)
retinochoroiditis,[医] 视网膜脉络膜炎
retinoid,"[医] 视网膜样的, 树脂样的"
retinol,"[医] 维生素A醇, 维生素A1, 瑞叮醇, 松香油"
retinopathy,[医] 视网膜病
retraction,"n. 缩进, 撤回
"
retrieval,"n. 取回, 恢复, 检索
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
retrograde,"a. 后退的, 倒退的, 退步的
vi. 倒退, 退步, 回顾"
retrogress,"vi. 倒退, 退化, 退步"
retroperitoneal,a. [解][医]腹膜后的
retroperitoneum,[医] 腹膜后腔
retropharyngeal,[医] 咽后的
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
retrotranslocation,[网络] 逆向转移
retrotransposition,反转录转座[作用]
retroverted,"a. 子宫后倾的
"
retrovirus,n. [微]逆转录酶病毒( 一种致肿瘤病毒)
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
reuptake,"n. (神经细胞对化学物质的)再吸收,再摄取"
revascularization,n. 血管的再形成
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
resveratrol," [医]白藜芦醇, 3',4',5-三羟（基）芪"
reverberation,"n. 反响, 混响, 反射
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
reversibility,"n. 可逆, 可逆性, 两面可用, 两面可用性, 可撤销, 可撤销性
"
reversible,"a. 可逆的, 可撤消的
n. 双面可用织物"
reversibly,"adv. 可逆, 两面可用, 可撤销"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
revision,"n. 校订, 修正, 修订本, 修订版
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
rewarding,"a. 有益的, 有报酬的, 报答的"
rhabdomyoblast,[网络] 横纹肌母细胞
rhabdomyoma,n. [医] 横纹肌瘤
rhabdomyosarcoma,[医] 横纹肌肉瘤
rheology,"n. 流变学
"
rheum,"n. 发炎性分泌物, 鼻粘膜炎, 感冒, 稀粘液, 大黄
"
rheumatic,"a. 风湿病的, 患风湿病的, 风湿病引起的
n. 风湿病患者, 风湿病"
rheumatism,"n. 风湿病
"
rheumatoid,"a. 类风湿病的
"
rheumatologist,[医] 风湿病学家
rheumatology,"n. 风湿病学
"
rhinitis,"n. 鼻炎
"
rhinoplasty,"n. 鼻整形术
"
rhinorrhea,[医] 鼻[液]溢
rhinovirus,[医] 鼻病毒
rhomboid,n. 长菱形
rhonchus,"n. 鼾音
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
rhythmic,"a. 有韵律的, 有节奏的"
rhythmically,adv. 有节奏地
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
ribavirin,[化] 利巴韦林; 三氮唑核苷
riboflavin,"n. 核黄素
"
ribonuclease,n. [生化]核糖核酸酶
ribonucleic acid,[生化]核糖核酸(略作 RNA)
ribonucleoprotein,[生化]核蛋白( 略作RNP)
ribosomal,a. [生化] 核醣体的
ribosome,"n. 核糖体
"
ribozyme,"n. 核酶, 核糖核酸拟酶, 酶性核糖核酸"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
rickets,"n. 佝偻病
"
rickettsia,"n. 立克次氏体
"
rickettsial,a. [微] 里克次氏体属微生物的
rickettsiosis,[医]立克次体病
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
ridge,"n. 脊, 山脊, 山脉
"
rifampin,[化] 利福平; 甲哌力复霉素
rifamycin,n. [微]利福霉素(抗结核药)
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
rigidity,"n. 坚硬, 僵化, 坚硬, 刚性, 刚度
"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
ringworm,"[医] 癣, 癣菌病"
rinse,"n. 清洗, 染发, 染发剂
vt. 以清水冲洗, 漱, 漂清
vi. 被漂净"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
risky,a. 危险的
ritalin,"[医] 利他林, 苯哌啶醋酸甲酯(商品名)"
RNA,abbr. 核糖核酸（Ribonucleic Acid）；浪漫派小说家协会（Romantic Novelists ' Association）
robot,"n. 机械人, 自动机械, 机械般工作的人
"
robotic,"a. 自动的；机器人的, 像机器人的"
robotics,"[计] 机器人学, 自动机工程学"
robustly,"adv. 要用体力地, 粗鲁地"
rod,"n. 竿, 笞鞭, 小枝
"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
roentgen,"n. 伦琴射线, X射线
"
roentgenogram,"n. 射线照片
"
roentgenographic,"a. 射线拍摄, X射线照相术, X射线拍摄术
"
roentgenography,"n. X射线照相术
"
rosacea,"[医] 酒渣鼻, 红斑痤疮"
roseola,"n. 风疹, 蔷薇疹
"
rosin,"n. 松香, 松脂
vt. 用松香涂"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rotation,"n. 旋转, 循环, 轮流
"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
round-the-clock,连续一整天
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
routinely,"adv. 日常, 乏味, 常规, 例行"
rubella,"n. 风疹
"
rubeola,"n. 麻疹
"
rubor,n. （发炎、毛细血管扩大时）皮肤的红色
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
rump,"n. 尾部, 臀部
"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
rural,"a. 乡下的, 田园的, 乡村风味的
"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
sac,"n. 囊, 液囊, (美)战略空军司令部
"
saccharin,"n. 糖精
"
saccharomyces,[单复同]n.[植]酵母
sacral,"a. 祭典的, 圣礼的, 神圣的, 骶骨的
"
sacroiliitis,骶髂关节炎
sacrum,"n. 骶骨
"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
safflower,"n. 红花, 红花染料, 红花油
"
sag,"vi. 下垂, 倾斜, 萎靡, 萧条, 变得乏味
vt. 使下垂
n. 下垂, 倾斜, 萧条
"
saikosaponin,"n. 柴胡皂苷
"
salbutamol,"n. [药]舒喘宁,舒喘灵,嗽必妥,羟甲叔丁肾上腺素,柳丁氨醇"
salicylate,"n. 水杨酸盐
"
saline,"a. 盐的, 苦涩的, 由碱金属(或含镁之盐类)组成的
n. 盐湖, 盐田, 碱盐泻药, 生理盐水"
saliva,"n. 唾液, 唾沫, 涎
"
salivary,"a. 唾液的, 分泌唾液的
"
salivate,"vi. 分泌唾液, 流涎
vt. 使分泌唾液"
salivation,"n. 分泌唾液, 汞中毒
"
salmonella,"n. 沙门氏菌
"
salmonellosis,[医] 沙门氏菌病
salpingectomy,"n. 输卵管切除术
"
salpingitis,"n. 输卵管炎, 耳咽管炎
"
salpingography,n. [医]输卵管造影术
salpingostomy,"n. 输卵管造口术
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
sampling,
sanatorium,"n. 疗养院, 疗养所, 静养地
"
sanguisorba,地榆
sanitary,"a. 卫生的
n. 公共厕所"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
saponin,
saprophytic,"a. 腐生的
"
sarcoid,"a. 肉质的, 肉状的
"
sarcoidosis,"n. 肉状瘤病, 类肉状瘤病
"
sarcoma,"n. 肉瘤
"
sarcomatoid,a. [医]肉瘤样的
sarcomatous,a. [医]肉瘤样的
sarcomere,"n. [生]肌(原纤维)节,肌小节"
sarin,
SARS,非典型肺炎（Severe Acute Respiratory Syndromes）
satellite,"n. 人造卫星
"
satiation,"n. 饱足, 厌腻, 满足
"
satiety,"n. 满足, 饱食, 厌腻
"
satisfactorily,adv. 令人满意地
satisfactory,"a. 满意的, 赎罪的
"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
saturable,"a. 可饱和的, 能浸透的"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
saturation,"n. 饱和, 渗透, 浸透, 色饱和度
"
sausage,"n. 香肠, 腊肠"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
scab,"n. 痂, 恶棍, 工贼
vi. 结痂, 当工贼"
scaffold,"n. 脚手架, 绞刑台
"
scald,"n. 烫伤, 烫洗
v. 烫伤, 烫洗"
scalding,"a. 滚烫的, 将近沸腾的, 沸腾的, 灼人的, 尖锐辛辣的
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
scalp,"v. 剥头皮
n. 头皮, 战利品"
scalpel,"n. 解剖刀
vt. 用解剖刀切开"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
scanner,"n. 扫描仪, 扫描盘, 审视者
"
scanning,
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
scanty,"a. 缺乏的, 仅有的, 不够的, 狭小的, 吝啬的"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcely,"adv. 简直不, 一定不, 仅仅"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scavenger,"n. (英)清道夫, 清扫工, 拾垃圾的人, 清除剂, 净化剂, 食腐动物, 黄色作家
"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
schisandrin,[网络] 五味子醇甲；五味子乙素；五味子素
schistosome,"n. 血吸虫, 裂体吸虫
a. 血吸虫的"
schistosomiasis,"n. 血吸虫病
"
schizont,n. [生](孢子虫的)裂殖体
