counteract,"vt. 抵消, 阻碍, 中和
"
price volatility,[网络] 价格波动性；股价波动；价格多变
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
raise sponsorship money,无
real estate,"不动产
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
run a business,管理企业
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
slum,"n. 贫民窟
vi. 访问贫民区"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
stabilise,"vt.vi. (使)稳定, (使)安定, (使)坚固
vt. 装稳定器"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
stint,"vt. 节省, 限制, 停止
vi. 节约
n. 吝惜, 节约, 限额"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
underlying,"a. 在下面的
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
world-wide, 全球的
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
agricultural,"a. 农业的
"
barren,"a. 不育的, 贫瘠的
n. 荒地"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
breakdown,"n. 崩溃, 故障
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
cannon,"n. 大炮, 加农炮
v. 炮轰"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
chunk,"n. 大块, 矮胖的人(或物)
"
clamp,"n. 夹钳
vt. 夹紧, 强加"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
drawback,"n. 缺点, 退税
"
dredge,"n. 挖泥机, 拖网
vt. 用挖泥机疏浚, (用船)采捞"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
equip,"vt. 装备, 配备
"
fallow,"n. 休耕地
a. 休耕的, 淡棕色的"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
fence off,"na. 挡开
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
hamlet,"n. 小村, 部落"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
herdsman,"n. 牧人, 牧主"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
livestock,"n. 家畜
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
mail out,寄出；发出
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
measure out,"na. 分给(一定份量)
"
mechanical,"a. 机械的, 机械性的, 力学的
"
molten,"a. 熔化的, 炽热的, 铸造的
melt的过去分词"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
necessity,"n. 需要, 必需品, 必然
"
operational,"a. 操作的, 运作的
"
outcome,"n. 结果, 出口"
output,"n. 输出, 产品, 产量
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
pile up,"堆积, 积累, 搁浅, 撞毁"
plough,"n. 犁, 犁过的地
vi. 用犁耕田, 开路
vt. 耕, 犁, 开路"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
quota,"n. 配额, 限额
"
ripe,"a. 成熟的, 熟练的, 成年的
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
slat,"n. 条板
vi. 劈啪劈啪地碰撞
vt. 用条板制造"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
stockpile,"n. 储蓄, 积蓄, 库存
vt. 储蓄, 贮存"
sufficient,"a. 充分的, 足够的
"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
swivel,"n. 转环, 旋转轴承, 转椅座架
v. (使)旋转"
timber,"n. 木材, 木料
vt. 用木材建造"
treadmill,"n. 踏车, 令人厌倦的工作
"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
wear and tear,"磨损, 折磨
"
wear down,"na. 使衰弱；挫败；慢慢破坏；消蚀
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
a blockbuster film,无
athlete,"n. 运动员, 运动选手
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
be renowned for ...,"因...而著名, 以...著称"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
brochure,"n. 小册子, 小册"
carousel,n. 竞技比武大会
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
cavalcade of luggage,无
cavort,vi. 腾跃
comedy,"n. 喜剧, 有趣的事情"
competition,"n. 竞争, 竞赛
"
crossword,"n. 纵横填字游戏, 纵横填字字谜
"
darkroom,"n. 暗房
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
glorious,a. 光荣的
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
goggles,"n. 护目镜, 风镜
"
gorgeous,"a. 华丽的, 灿烂的"
guided bushwalk,无
guided tour,由导游陪同的旅游
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
ID card,身份证
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
mime,"n. 哑剧, 小丑, 滑稽戏
v. 摸拟表演
"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
Nordic,"n. 北欧人, 日耳曼民族, 北欧两项滑雪
a. 北欧人的, 日耳曼民族的, 北欧两项滑雪的"
orchestra,"n. 管弦乐队, 乐队演奏处"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
plush,"n. 长毛绒, 长毛绒裤
a. 长毛绒制的, 豪华的"
preferential,"a. 优先的, (关税等)优惠的
"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
reservation,"n. 保留, 预定, 保留品, 保留地
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
suitcase,n. 手提箱
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
torch,"n. 火把, 启发之物
"
townscape,"n. 城镇的风景, 城镇风光"
track and field,a. 田径运动的
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
trapeze,n. 吊秋千
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
visa,"n. 签证
vt. 签发"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
a rush of joy,无
amaze,vt. 使吃惊
annoy,"vt. 使恼怒, 骚扰"
astounding,a. 令人惊骇的
be taken aback,吃惊
blame,"n. 过失, 责备
vt. 责备, 归咎于"
blunt,"a. 钝的, 坦率的, 麻痹的"
bold,"a. 大胆的
n. 粗体
"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
daunt,"vt. 威吓, 难倒, 使气馁"
decisive,"a. 决定性的, 坚定的, 果断的"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
easy-going, 从容不迫的
extroverted behaviour,无
faith,"n. 信心, 信任, 忠实, 保证
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
fraught,"a. 含有...的, 伴着...的, 充满...的"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
furious,"a. 狂怒的, 激烈的, 吵闹的"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
grin,"n. 露齿笑
v. 露齿而笑"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
homesick,"a. 思家的, 思乡病的"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
loath,"a. 不情愿的, 厌恶的"
logical,"a. 合乎逻辑的, 合理的
"
marvellous,"a. 奇异的, 神奇的, 奇迹般的, 惊人的, 不可思议的, 绝妙的, 妙极的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
mood,"n. 心情, 气氛, 生气, 基调
"
naive,"a. 天真的, 纯真的, 幼稚的"
nasty,"a. 污秽的, 下流的, 险恶的"
niggle,"vi. 闲混, 为琐事费时, 吹毛求疵, 拘泥小节
vt. 玩忽, 小气地给..."
obscene,"a. 淫秽的, 猥亵的, 讨人厌的, 可憎的
"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
reliable,"a. 可靠的, 可信赖的
"
reluctant,"a. 不情愿的, 勉强的
"
revulsion,"n. 剧变, 厌恶, 强烈反感
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
self-esteem, 自尊
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
sophisticated,"a. 复杂的, 久经世故的
"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
thoughtful,"a. 深思的, 体贴的"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
a handful of,"一小撮,少数"
bistro,"n. 小酒馆, 夜总会"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
cafeteria,"n. 自助餐厅
"
calorie,n. 卡路里（热量单位）
carve,"v. 雕刻, 切开"
cater,"v. 提供饮食及服务, 投合, 迎合"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chum,"n. 密友, 室友
vi. 结为密友"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
curry,"n. 咖哩粉, 咖哩饭菜
vt. 用咖哩粉调味, 用马梳梳, 制革"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
fragrance,"n. 芬芳, 香味"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
grocery,"n. 食品杂货店, 食品杂货业"
guzzle,"v. 狂饮, 暴食, 喝酒化掉(钱)"
malt,"n. 麦芽
a. 麦芽的, 含麦芽的, 用麦芽作的
vt. 使成麦芽, 用麦芽处理
vi. 发麦芽"
mandarin,"n. 中国官话, 国语, 满清官吏, 柑橘
a. (中国式)紧身马褂的"
meagre,"a. 瘦的, 不毛的, 贫乏的, 贫弱的, 少量的, 力量不够的, 质不高的, 量不足的"
mingle,v. (使)混合
odour,"n. 气味, 臭气, 香气, 味道, 迹象, 名誉, 声誉
"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
savour,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 品味, 加调味品于, 使有风味, 尝到"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
