cent,"n. 分
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
explosion,"n. 爆发, 激增, 爆炸(声)
"
implode,"vi. 内爆, 向内破裂, 爆裂
"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
rodenticide,"n. 灭鼠剂
"
insomnia,"n. 失眠症
"
insomnious,"a. 失眠的, 患失眠症的"
somnambulate,vi. 梦游
somniferous,"a. 催眠的, 使爱睡的
"
somnolent,"a. 想睡的, 催眠的
"
injury,"n. 伤害, 侮辱
"
juror,"n. 陪审员, 审查委员
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
perjury,"n. 伪誓, 伪证, 背信弃义
"
abjure,"vt. 发誓断绝, 公开放弃
"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
monument,"n. 纪念碑, 纪念物, 石碑"
summons,"n. 召唤, 传唤, 召集, 传票
vt. 传唤, 唤出, 传到"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
admonitory,"a. 警告的, 劝告的, 训诫的"
premonition,"n. 预告, 预感, 征兆
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
provoke,"vt. 激怒, 惹起, 诱导
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
evoke,"vt. 唤起, 引起, 召(魂)
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
convocation,"n. 召集, 集会, 教士会议
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
vocalist,"n. 声乐家, 歌手"
avocation,"n. 副业, 嗜好
"
equivocate,"vi. 说模棱两可的话, 支吾"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
tuition,"n. 学费, 讲授"
intuition,"n. 直觉, 直觉的知识"
tutorial,"n. 个别指导, 论文, 学习指南, 指导手册
a. 个别指导的, 家庭教师的, 辅导的
"
astute,"a. 敏锐的, 狡猾的"
intuitive,a. 直觉的
untutored,"a. 未受教育的, 粗野的, 天真的"
army,"n. 军队, 陆军"
armament,"n. 军备, 军队, 武器
"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
sanctity,"n. 神圣, 尊严, 圣洁
"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
sacrilege,"n. 亵渎圣物, 冒渎, 渎圣行为
"
desecrate,"vt. 供俗用, 亵渎, 轻蔑地对待"
sanctify,"vt. 使神圣, 奉献给神, 使成为神圣之物"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
contamination,"n. 污染, 污物
"
contaminator,"n. 污染物, 沾染物"
decontaminate,"vt. 净化, 排除污染"
contaminant,"n. 污染物, 沾染物
"
ethnicity,n. 种族划分
ethnic,"a. 人种的, 种族的
"
ethnology,"n. 人种学
"
ethnologist,"n. 民族学者, 人种学者"
ethnomusicology,n. 人种音乐学
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
concord,"n. 一致, 和睦, 协定"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
electrocardiogram,"n. 心电图
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
resilient,"a. 弹回的, 有弹力的
"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
assail,"vt. 攻击, 质问
"
exult,"vi. 非常高兴, 欢欣"
desultory,"a. 散漫的, 无条理的, 不连贯的"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tendency,"n. 趋向, 倾向
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extensive,"a. 广的, 广泛的, 多方面的
"
intend,"vt. 计划, 打算, 意思是
"
intention,"n. 意图, 目的, 含义
"
pretend,"v. 假装, 伪称, 自命, 自称"
attention,"n. 注意, 注意力
"
extent,"n. 范围, 程度, 区域
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
distend,"v. (使)膨胀, (使)扩张"
attentive,"a. 注意的, 留心的"
intensify,"vt. 加强
vi. 强化"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
prevail,"vi. 获胜, 流行, 盛行
"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invalidity,"n. 无效, 无价值, 病弱
"
invalidate,"vt. 使无效
"
prevalence,"n. 普遍, 流行, 广泛
"
valiant,"a. 英勇的
n. 勇敢的人"
audience,"n. 听众, 观众, 读者
"
auditor,"n. 审计员, 听者, 旁听生
"
audition,"n. 听, 听力, 试听
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditorium,"n. 听众席, 礼堂
"
audible,"a. 听得见的
"
inaudible,a. 听不见的
corporation,"n. 公司, 合作, 法人团体
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
corpse,"n. 尸体
"
corporate,"a. 社团的, 合伙的, 公司的
"
corpulent,"a. 肥大的, 肥胖的
"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
corporeal,"a. 肉体的, 有形的, 物质的
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
tact,"n. 机智, 手法, 老练
"
tactics,"n. 用兵学, 战术, 兵法
"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
contagious,"a. 触染性的, 会蔓延的
"
intangible,"a. 难以明了的, 无形的
"
inhale,"vt. 吸入
vi. 吸气"
inhalation,"n. 吸入
"
exhale,"v. 呼气, 发出, 散发"
hale,"a. 强壮的, 矍铄的, 健壮的
vt. 猛拉, 拖曳"
halitosis,"n. (呼出的)恶臭, 口臭
"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
nervous,"a. 神经紧张的, 不安的, 神经的
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
neuritis,"n. 神经炎
"
neurology,"n. 神经病学
"
neurosis,"n. 神经症, 神经机能病
"
nervy,"a. 有勇气的, 易激动的"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
plantable,a. 可种植的
supplant,"vt. 排挤掉, 代替"
transplantation,"n. 移植, 移民, 移植术
"
equable,"a. 平静的, 变动小的"
equate,"vt. 使相等, 视为平等
vi. 等同"
equitable,"a. 公平的, 公正的
"
iniquity,"n. 不公正, 不公正行为"
equivocal,"a. 意义不明确的, 模棱两可的
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
deprive,"vt. 剥夺, 使丧失
"
privacy,"n. 隐私, 隐居, 秘密
"
privy,"a. 个人的, 私人的, 秘密的, 隐蔽的
n. 有利害关系的人, 当事人, 厕所"
deprivation,"n. 剥夺, 剥夺官职, 免职
"
gravity,"n. 地心引力, 重力
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
aggravate,"vt. 使恶化, 使更严重, 加重"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
aggrieve,"vt. 使委屈, 使悲痛, 侵害
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
diameter,"n. 直径
"
immense,"a. 极广大的, 无边的, 非常好的"
barometer,"n. 气压计
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
symmetry,"n. 对称, 匀称
"
immeasurable,"a. 不可测量的, 无限的, 广大无边的"
metrical,"a. 韵律的, 有韵律的, 测量的"
commensurate,"a. 同量的, 同等的, 相称的"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
bilateral,"a. 有两边的, 双边的, 双方的
"
equilateral,"n. 等边形
a. 等边的"
multilateral,"a. 多边的, 多国的
"
unilateral,"a. 单方面的, 单边的, 片面的
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
anniversary,n. 周年纪念
annals,"n. 编年史, 活动年报, 历史"
annuity,"n. 年金, 年金保险, 年金领受权
"
biannual,"a. 一年两次的
"
millennium,"n. 千禧年, 一千年"
perennial,"a. 常年的, 长期的, 反复的
"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
brevity,"n. 短暂, 简短"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
abridgment,"n. 删节, 删节本, 缩短, 限制"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
assertive,"a. 武断的, 过分自信的
"
exsert,"vt. 使突出, 使伸出
a. 突出的"
insertion,"n. 插入, 刊载, 插入物
"
assert,"vt. 主张, 坚称, 断言
"
assertion,"n. 断言, 主张
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
innocence,"n. 无罪, 无知, 天真无邪
"
nocuous,"a. 有毒的
"
innocuous,"a. 无害的, 无伤大雅的
"
noxious,"a. 有害的, 有毒的, 使道德败坏的
"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
deviltry,"n. 恶行, 残暴"
vilify,"vt. 诽谤, 贬低
"
villain,"n. 坏人, 恶棍
"
meliorate,"v. 改善, 改良, 变好"
melioration,n. 改善
meliorism,n. 社会向善论
ameliorate,"v. 改善, 改良, 改进"
amelioration,"n. 改善, 改良, 改进
"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
sagacity,"n. 睿智, 聪敏"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
sapience,"n. 象有学识, 装聪明, 智慧"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
cognition,"n. 认识, 认识力, 认识的结果
"
precognition,"n. 先知, 预知, 预审
"
cognizable,"a. 可认识的, 可被审理的, 在审判权限内的
"
cognizant,"a. 察知的, 认识到的, 有认识能力的
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
philanthropy,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
neophilia,n. 喜欢新奇
zoophilous,"a. 适于动物传粉的, 酷爱动物的
"
philology,"n. 语文学, 文献学"
aesthetic,"a. 美学的, 审美的, 有美感的"
anesthesia,"n. 麻醉, 麻木
"
aesthetics,n. 美学
anaesthetic,"n. 麻醉剂, 麻药
a. 麻木的, 麻醉的"
aesthete,"n. 审美家, 唯美主义者"
phobia,"n. 恐怖病, 恐惧症, 惧怕, 憎恶
"
acrophobia,"n. 恐高症
"
hydrophobia,"n. 恐水病, 狂犬病
"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
meditation,"n. 沉思, 冥想"
meditative,"a. 默想的, 耽于默想的, 冥想的"
premeditate,"v. 预谋, 预先考虑"
premeditated,"a. 预先考虑的, 预谋的
"
anthropology,"n. 人类学
"
anthropophagous,a. 食人的
misanthropist,"n. 厌恶人类者, 厌世者"
philanthropist,"n. 慈善家, 博爱主义者, 乐善好施的人
"
anthropoid,"n. 类人猿
a. 似人的"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
aspire,"vi. 渴望, 立志于"
aspiration,"n. 热望, 志向, 渴望
"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
expiration,"n. 终止, 满期, 呼出, 呼气
"
dispirit,"vt. 使沮丧, 使气馁"
respire,v. 呼吸
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
vigor,"n. 精力, 活力"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
vitality,"n. 活力, 生命力
"
vitalize,"vt. 赋予生命, 给予活力, 使有生气
"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
vivacious,"a. 活泼的, 快活的, 多年生的"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
senate,"n. 参议院, 立法机构, 评议会"
senator,"n. 参议员, (某些大学的)理事
"
senatorial,"a. 参议院的, 由参议员组成的
"
senescence,"n. 老朽, 衰老
"
seniority,"n. 长辈, 老资格
"
blaspheme,v. 亵渎
blasphemy,"n. 亵渎神明, 亵渎神明的言词
"
euphemism,"n. 委婉说法, 委婉语"
euphemistic,a. 委婉的
bicycle,n. 自行车
bilingual,a. 双语的
bilateral,"a. 有两边的, 双边的, 双方的
"
bisexual,"a. 两性的, 雌雄同体的
"
biweekly,"n. 双周刊
a. 两周一次的, 每周二次的
adv. 每两周一次地, 每周二次地"
bigamist,n. 重婚者
binoculars,"n. 双目镜, 双筒镜
"
bicolor,a. 二色的
bisect,"v. 分成两部份, 对分"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
twice,"adv. 两次, 两倍"
twofold,"a. 两倍的, 两重的
adv. 两倍地, 两重地"
twiforked,[网络] 有两叉的；有兩叉的
twiformed,"a. 有两种形式的,有两个部分的"
twilight,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态
a. 微明的"
triangle,"n. 三角形, 三个一组, 三角关系
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
triennial,"a. 每三年一次的
n. 三年生植物, 三年发生一次的事"
trilogy,"n. 三部剧, 三部曲
"
trio,n. 三重唱
tripod,"n. 三脚桌, 三脚架
"
biocide,n. 杀虫剂
antibiotic,"n. 抗生素
a. 抗生的"
autobiography,n. 自传
biosphere,"n. 生物圈
"
symbiosis,"n. 共栖, 共同生活
"
polysyllable,n. 多音节词
polytechnical,"a. 工艺的
n. 工艺学校"
polyfunctional,"a. 多官能的, 多重的"
polygon,"n. 多角形, 多边形
"
polyandry,"n. 一妻多夫, 多雄蕊式
"
polyglot,"a. (使用)多种语言的, 多种文字对照的
n. 使用多种语言的人, 多种文字对照本"
hemicycle,"n. 半圆形, 半圆形斗技场, 半圆形房间"
semiannual,"a. 半年一次的, 一年两次的
"
demi-fixed,无
semi-skilled,"adj. 半熟练；半熟链的
n. 半熟练的
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
semi-arid, 半干燥的
semi-automatic, 半自动的
semi-final, [体]准决赛
decade,"n. 十年, 十"
decagram,"n. 十克
"
decasyllable,n. [诗]十音节
decameter,n. <美>(=decametre)十米
decathlete,"n. 十项运动员, 十项全能选手"
decathlon,n. 十项运动
monarch,"n. 帝王, 统治者, 元首
"
monochrome,"n. 单色画, 单色, 黑白
a. 单色的, 黑白的
"
monogamy,"n. 一夫一妻制
"
monograph,"n. 专题论文, 专著, 专刊
vt. 写专题论文"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
monomania,"n. 狂热, 偏执狂
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extracurricular,"a. 课外的, 业余的"
extradite,"vt. 引渡, 获取(逃犯等)的引渡
"
extraneous,"a. 外来的, 非必要的, 无关的
"
extrapolate,"v. 推断, 外推"
extrovert,"n. 外向性格的人
"
homocentric,"a. 具同一中心的, 同心的
"
homochromatic,"[计] 同色的, 均色的"
homonym,"n. 同音异义字, 同名异物
"
homosexual,"a. 同性恋的
n. 同性恋者"
homogenize,"vi. 变均匀
vt. 使均匀"
magnificence,"n. 富丽堂皇, 华丽, 宏大"
magnification,"n. 扩大, 放大率, 放大的复制品
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnanimity,n. 宽宏大量
magnate,"n. 大官, 巨头
"
magniloquent,"a. 使用夸大文句的, 夸张的, 吹牛的"
malice,"n. 恶意, 蓄意害人, 怨恨
"
malnutrition,"n. 营养失调, 营养不良
"
maltreat,"vt. 虐待, 滥用
"
malevolent,"a. 有恶意的, 坏心肠的"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
malodor,n. 恶臭
malpractice,"n. 不当治疗, 不端行为, 渎职
"
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
antetype,n. 原型
antemarital,a. 婚前的
anterior,"a. 前面的, 先前的
"
anteroom,"n. 候见室, 前厅, 休息室
"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
circumstance,"n. 环境, 状况, 事件"
circumference,"n. 圆周, 周缘, 胸围
"
circumspect,"a. 细心的, 慎重的"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
circumscribe,"vt. 在...周围画线, 限制"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
exosphere,n. 外大气圈
exocentric,"a. [语]外向的,离心的"
exogamy,"n. 异族结婚
"
exoteric,"a. 外界的, 一般人所能理解的, 开放的, 公开的
n. 公开的教义"
multilateral,"a. 多边的, 多国的
"
multimedia,"n. 多媒体
"
multilevel,"[计] 多级的, 多层的"
multiform,"a. 各种形式的, 多样的, 多种的
"
multicolored,"a. 多种色彩的, 五彩缤纷的"
multicultural,a. 融合或具有多种文化的；多种文化的
multilingual,a. 多语言的
multistory,a. 有多层楼的
microphone,"n. 扩音器, 麦克风
"
microscope,"n. 显微镜
"
microwave,"n. 微波
"
microchip,"n. 微型集成电路片, 微片, 芯片
"
microbiology,"n. 微生物学
"
microprocessor,"n. 微处理器
"
microfilm,"n. 缩影胶卷
v. 缩微拍摄
"
microbe,"n. 微生物, 细菌
"
microworld,微观世界
geometry,"n. 几何学
"
geographer,n. 地理学者
geology,"n. 地质学, 地质情况"
geologist,"n. 地质学家, 地质学者"
geothermal,"a. 地温的, 地热的"
geomagnetic,a. 地磁的
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
perennial,"a. 常年的, 长期的, 反复的
"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
perambulate,"vt. 巡行, 徘徊, 漫步于, 勘查
vi. 漫步, 闲荡, 迂回"
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
