evict,"vt. 逐出, 赶出, 驱逐
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
radius,"n. 半径, 范围, 辐射光线
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
circular,"a. 圆形的, 循环的, 间接的
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
approximation,"n. 接近, 近似值
"
depth,"n. 深度, 深处, 深奥
"
successive,"a. 继承的, 连续的
"
parallel lines,平行线
decimal point,
tangent,"a. 接触的, 正切的, 离题的
n. 切线, 正切"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
tangential,"a. 切线的, 相切的, 正切的, 离题的, 扯远的
"
hexagon,"n. 六角形, 六边形
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
bisect,"v. 分成两部份, 对分"
cancellation,"n. 取消, 作废, 注销戳
"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
unknown,"a. 不知道的, 未知的, 陌生的
n. 未知物, 未知数"
decrease,"n. 减少, 减少量
v. 减少"
vertex,"n. 顶点, 最高点, 头顶, 天顶
"
distance,"n. 距离, 远方, 遥远
"
solution,"n. 解决, 解答, 溶液
"
geometry,"n. 几何学
"
chart,"n. 图表, 海图
vt. 制成图表
"
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
"
divisor,"n. 除数, 公约数
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
fraction,"n. 小部分, 破片, 分数
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
graph,"n. 曲线图, 图表, 图形
"
octagon,"n. 八边形, 八角形"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
perimeter,"n. 周长, 周界, 边缘
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
arithmetic,"n. 算术, 算术知识
"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
preceding,"a. 在前的, 前面的
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
quotient,"n. 商, 份额
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
area,"n. 区域, 面积, 范围, 空地
"
expression,"n. 表达, 表现, 词语, 措辞
"
cubic,"a. 立方体的, 立方的
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
rhombus,"n. 菱形, 菱形六面体"
secant,"a. 正割的
n. 割线, 正割"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
difference,"n. 不同, 差异
"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
dividend,"n. 被除数, 股利
"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
rectangle,"n. 长方形, 矩形
"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
ordinate,"n. 纵线, 纵座标
"
triangle,"n. 三角形, 三个一组, 三角关系
"
arc,"n. 弧, 弧形, 弓形, 弧光
"
product,"n. 产品, 结果, 乘积
"
axis,"n. 轴
"
approximately,"adv. 大约, 大致, 近于
"
factorable,[计] 可分解因子的
median,"a. 中央的, 中间的, 正中的
n. 正中动脉, 中位数, 中线"
equality,"n. 平等, 均匀, 相等
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
hundredth,a. 第一百的
pictograph,"n. 象形文字, 古代石壁画, 统计图表
"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
pointer,"n. 指示物, 教鞭, 暗示, 指针
"
numerator,"n. 分子, 计算者, 计算的东西"
ratio,"n. 比, 比率
"
denominator,"n. 分母, 命名者
"
coefficient,"n. 系数
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
formula,"n. 客套语, 公式, 准则
"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
equilateral,"n. 等边形
a. 等边的"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
apiece,"adv. 就每个而论, 各"
deduct,"vt. 扣除, 减去
"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
probability,"n. 可能性, 或然率, 几率, 概率
"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
enumerate,"vt. 列举, 计算, 枚举, 数
"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
quadrilateral,"a. 四边形的
"
halve,"vt. 二等分, 对半分享, 把...减半"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
degree,"n. 程度, 度数, 学位, 度
"
elliptical,"a. 椭圆的
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
miscount,"v. 数错, 误算
n. 数错, 误算"
digit,"n. 数字, 位数, 指头
"
decagon,"n. 十边形, 十角形"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
convergence,"n. 集中, 收敛
"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
constitute,"vt. 构成, 组成, 任命
"
multiplication,"n. 乘法, 增加, 乘法运算
"
hypotenuse,n. (直角三角形之)斜边
rectangular,"a. 成直角的
"
quadrant,"n. 四分之一圆, 象限, 象限仪
"
centiliter,"n. 厘升
"
indefinitely,adv. 无期限地
equation,"n. 相等, 等式, 平衡
"
billion,"num. 十亿, 十亿个"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
proportionate,"a. 相称的, 成比例的, 适当的
vt. 使相称, 使成比例"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
cube,"n. 立方体, 立方
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
divisible,"a. 可分的, 可分割的, 除得尽的
"
height,"n. 高度, 海拔, 高地, 顶点
"
vertical,"a. 垂直的, 直立的
"
amount,"n. 总数, 总额
vi. 总计, 等同"
differ,"vi. 不一致, 不同
"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
chord,"n. 弦, 和音
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
integer,"n. 完整的事物, 整体, 整数
"
ratiocination,"n. 推理, 推论"
similar,"a. 相似的, 类似的
n. 相似的东西"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
spheroid,"n. 球状体, 回转椭球体
"
consecutive,"a. 连续的, 联贯的
"
parallelogram,"n. 平行四边形
"
algebra,n. 代数学
pentagon,"n. 五角形, 五边形
"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
diameter,"n. 直径
"
tantamount,"a. 同等的, 相等的, 相当于...的
"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
multiply,"v. 繁殖, 乘, 增加
"
equidistant,"a. 距离相等的, 等距的"
subdivide,"vt.vi. (把...)再分, (把...)细分
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
equiangular,a. 等角的
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
oblong,"n. 长方形, 长椭圆形
a. 长方形的, 长椭圆形的"
parity,"n. 同等, 同位, 平价, 奇偶性
"
beeline,n. 笔直线
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
proportional,"a. 比例的, 相称的
n. 比例项"
polygon,"n. 多角形, 多边形
"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
semicircle,n. 半圆形
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
extrapolate,"v. 推断, 外推"
abscissa,"n. 横坐标
"
absolute value,
acute angle,
acute triangle,[机] 锐角三角形
adjacent angles,n. 邻角
algebraic expression,[计] 代数表达表
algebraic fraction,"代数分式,代数分数"
algebraic term,代数项
aliquant,"n. 除不尽的数
a. 不能整除的"
aliquot,"n. 整除数
a. 能整除的, 部分的"
alternate angles,n. 错角
angle bisector,角平分线，分角线
arithmetical average,[经] 算术平均
arithmetic average,[经] 算术平均数
arithmetical mean,[医] 算术平均数
arithmetic mean,
bar graph,
chart,"n. 图表, 海图
vt. 制成图表
"
base area,[计] 基区
binomial,"a. 包含两个名词(或名称的), 二项式的, 双名的
n. 二项式, 双名"
central angle,[机] 中心角
circle graph,[数] 圆形图；扇面图
circle chart, [医]圆图
circular cylinder,圆柱体;圆筒
common denominator, 公分母
common difference, 公差
common divisor,"n. 公约, 公约数"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
common multiple,"n. 公倍, 公倍数"
common ratio,[计] 公比
complementary angle,[机] 余角
complete quadratic equation,无
complex number,
compound annual interest,无
compound interest,
concentric circle,同心圆
coordinate system,
coordinate geometry, 解析几何
coordinate plane,坐标平面
consecutive even integer,无
consecutive odd integer,无
consecutive integer,无
corresponding angles," 同位角, 对应角"
corresponding side,无
counter-clockwise,反时针方向
cross multiplication, 叉乘法
cubic block,无
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
cumulative graph,无
curved line,曲线
decimal fraction,"n. 小数
"
decimal place,
discount rate,"贴现率
"
endpoint,"n. 端点；末端, 终结点"
equivalent fraction,无
evenly spaced,[网络] 等间隔的；平均分布的
even integer,偶数
evenly even integer,无
exterior angle,n. 外角
geometric mean,
greatest common divisor,"最大公约数
"
heptagon,"n. 七角形, 七边形"
improper fraction,"n. 假分式, 假分数"
included angle,[机] 倾斜角
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
independent variables,na. 【数】自变数
infinite decimal,无尽小数
non-terminating decimal,"un. 无尽小数
"
infinite sequence,[计] 无穷序列
inscribed angle,内接角
inside dimension,内部尺寸;内尺寸
installment,"n. 就职, 装设, 分期付款
"
integer part,[计] 整数部分
interior angle, 内角
invert a fraction,无
irrational number,
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
lowest common multiple,最小公倍数
lengthwise,"a. 纵长的
adv. 纵长地"
lengthways,"adv. 纵向
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
similar terms,"[计] 相似项, 类似项"
line graph,[经] 线状图表
literal coefficient,文字系数
mathematical operation,"un. 数学运算
"
minor arc,劣弧
minuend,"n. 被减数
"
mixed decimal,[计] 带小数的数
monomial,"a. 单项的, 单个词的
n. 单项式, 单个词的"
multiplicand,"n. 被乘数
"
numerical coefficient,数字系数
natural number,[计] 自然数
negative number,
n-gon,[数] ｎ角
n-sided polygon,无
non-adjacent,[网络] 非相邻
nonagon,n. 九边形
nonzero,a. 非零的
number line,[计] 数字行
remote interior angles,无
