coda,"n. 尾音, 乐章结尾部, 结尾段"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
sanitary,"a. 卫生的
n. 公共厕所"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
complementary,"a. 补充的, 补足的
"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
votary,"n. (天主教)立誓献身者, 崇拜者, 支持者, 信徒"
salutary,"a. 有益的, 有用的, 有益健康的
"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
decry,"vt. 反对, 责难, 诽谤, 诋毁"
tawdry,"a. 廉价而俗丽的
n. 廉价而俗丽之物"
leery,"a. 机敏的, 猜疑的, 狡猾的"
drudgery,"n. 苦差事, 苦工"
skullduggery,"n. 欺骗, 诡计, 诈骗"
mockery,"n. 嘲弄, 笑柄, 歪曲"
chicanery,"n. 强词夺理, 狡辩, 欺骗"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
effrontery,n. 厚颜无耻
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
pillory,"n. 颈手枷, 笑柄, 示众
vt. 上颈手枷, 使惹人嘲笑, 使受众辱, 将...示众"
provisory,"a. 有附文的, 有附带条件的
"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
mandatory,"a. 命令的, 托管的
"
laudatory,"a. 赞美的, 赞赏的"
obligatory,"a. 义务的, 必须的, 强制性的
"
nugatory,"a. 无价值的, 无用的, 无效的, 琐碎的"
dilatory,"a. 拖拉的
"
minatory,a. 威胁的
migratory,"a. 迁移的, 流浪的"
conservatory,"a. 保存性的, 有保存力的
n. 温室, 音乐学校"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
desultory,"a. 散漫的, 无条理的, 不连贯的"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
peremptory,"a. 断然的, 俨然的, 强制的, 不容置疑的, 急迫的
"
savory,"a. 风味极佳的, 可口的, 味香的
n. 开胃菜"
pry,"n. 杠杆, 窥探, 好奇者
vi. 打听, 窥探
vt. 撬动, 撬开, 费力得到"
harry,"vt. 掠夺, 使苦恼, 强使前行, 折磨, 骚扰"
parry,"vt. 挡开, 回避, 闪避的回答
n. 挡开, 回避, 闪避的回答"
symmetry,"n. 对称, 匀称
"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
penury,"n. 贫困, 贫穷, 拮据, 馈乏
"
wry,"a. 扭歪的, 歪曲的, 歪斜的
v. 扭曲, 扭歪"
awry,"a. 歪的, 错误的
adv. 歪斜地, 错地"
idiosyncrasy,"n. 气质, 特性, 风格
"
fantasy,"n. 幻想, 想象的产物
"
ecstasy,"n. 狂喜, 心醉神迷, 忘形
"
apostasy,"n. 叛教, 变节, 脱党
"
heresy,"n. 异端, 异教
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
rosy,"a. 蔷薇色的, 玫瑰红色的"
brassy,"a. 似黄铜的, 厚脸皮的
n. 铜头高尔夫球棍"
glossy,"a. 平滑的, 有光泽的"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
frowsy,a. 霉臭的；难闻的；不整洁的（等于frowzy）
nicety,"n. 美好, 准确, 精密, 拘泥细节, 纤细"
notoriety,"n. 恶名, 臭名, 声名狼藉"
propriety,"n. 礼貌, 规矩, 适当
"
rickety,"a. 患佝偻病的, 虚弱的, 摇摆的
"
shifty,"a. 变化的
"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
probity,"n. 诚实, 正直"
paucity,"n. 少数, 少量, 缺乏"
vitality,"n. 活力, 生命力
"
sensuality,"n. 耽于声色, 淫荡, 好色"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
liability,"n. 责任, 债务, 倾向
"
agility,"n. 敏捷, 灵活, 机敏"
tranquility,n. 宁静
civility,"n. 礼貌, 礼仪"
amity,"n. 友好, 亲善关系"
calamity,"n. 灾难, 不幸事件"
enmity,"n. 敌意, 憎恨"
comity,"n. 礼貌, 礼让
"
sanity,"n. 神智健全, 头脑清楚, 通情达理
"
amenity,"n. 便利设施, 适意, 礼仪
"
affinity,"n. 吸引, 姻亲关系, 类同
"
indemnity,"n. 赔偿, 保障, 补偿, 赦免, 保护
"
solemnity,"n. 严肃, 一本正经
"
impunity,"n. 不受惩罚, 无事, 无患
"
serendipity,"n. 偶然发现珍宝的运气/才能, 易遇奇缘的运气"
peculiarity,"n. 特质, 特性, 怪癖"
clarity,"n. 清楚, 明晰
"
parity,"n. 同等, 同位, 平价, 奇偶性
"
alacrity,"n. 敏捷, 轻快, 乐意"
temerity,"n. 鲁莽, 蛮勇"
asperity,"n. 粗暴, 严酷, 粗糙"
integrity,"n. 正直, 廉正, 完整
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
propensity,"n. 倾向, 爱好, 习性"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
diversity,"n. 差异, 多样性
"
nonentity,"n. 不存在, 非实在, 虚无"
perspicuity,"n. 明晰, 明了, 简明, 表达清楚, 易懂"
equity,"n. 公平, 公正
"
iniquity,"n. 不公正, 不公正行为"
depravity,"n. 堕落, 腐败, 邪恶
"
levity,"n. 轻率, 轻浮, 不稳定"
brevity,"n. 短暂, 简短"
proclivity,"n. 倾向, 癖性"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
jaunty,"a. 快活的, 活泼的, 轻快的"
hasty,"a. 匆匆的, 轻率的, 性怠的"
tasty,"a. 好吃的, 可口的"
testy,"a. 易怒的, 暴躁的"
travesty,"n. 拙劣的模仿作品, 嘲弄, 滑稽模仿
vt. 滑稽地模仿, 歪曲"
zesty,"a. 强烈的兴趣, 热心, 热忱, 热情, 滋味, 风趣, 香味, 风味
vt. 给...加香味, 给...调味, 给...添风趣, 给...增兴趣"
feisty,"a. 激动的, 活跃的, 好争吵的, 坐立不安的"
frosty,"a. 霜冻的, 严寒的, 冷淡的"
fusty,"a. 发霉的, 守旧的, 陈腐的"
nasty,"a. 污秽的, 下流的, 险恶的"
natty,"a. 整洁的, 帅的, 清楚的, 敏捷的"
tatty,"a. 穿破的, 粗糙的, 不值钱的"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
knotty,"a. 有结的, 多节的, 多瘤的, 棘手的"
obloquy,"n. 辱骂, 毁谤, 耻辱"
soliloquy,"n. 自言自语, 独白"
scurvy,"a. 下流的, 卑鄙的, 无礼的
n. 坏血病"
topsy-turvy,"adj. 〈非正式〉混乱的；〈非正式〉上下颠倒的
n. 混乱；颠倒
"
savvy,"v. 理解, 领悟
n. 理解能力, 机智, 悟性"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
