able,"a. 能干的, 能够的"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
tiresome,"a. 累人的, 烦人的"
hatred,"n. 憎恨, 仇恨, 憎恶
"
fax,"n. 传真
vt. 发传真
"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
feminine,"a. 女性的, 阴性的, 柔弱的
"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
hostess,"n. 女主人, 女房东, 女老板"
landlady,"n. 女房东, 女地主"
mistress,"n. 主妇, 女主人, 情妇"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
fiber,"n. 纤维, 构造, 纤维制品
"
fibre,"n. 纤维, 构造, 纤维制品
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
nylon,"n. 尼龙
"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
velvet,"n. 天鹅绒
a. 天鹅绒的"
fireplace,n. 壁炉
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
oven,"n. 烤箱, 灶, 子宫
"
fixture,"n. 固定(状态), 固定物, 设备
"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
flatter,"vt. 奉承, 阿谀, 使高兴
"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
pneumonia,"n. 肺炎
"
tumor,"n. 肿大, 肿块, 瘤, 赘生物, 肿瘤
"
tumour,"n. 瘤, 肿块"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
outflow,"n. 流出, 流出物
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
footstep,"n. 脚步, 脚步声, 足迹"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
forefather,n. 祖先
forehead,"n. 额, 前额, 前部
"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
seam,"n. 缝合线, 衔接口, 接缝, 线缝, 伤疤
vt. 缝合, 接合, 焊合, 使留下伤痕
vi. 裂开, 发生裂痕"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
herb,"n. 药草, 香草
"
odor,"n. 气味, 香味, 名声, 意味
"
odour,"n. 气味, 臭气, 香气, 味道, 迹象, 名誉, 声誉
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
friction,"n. 摩擦, 摩擦治疗, 不和
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
furious,"a. 狂怒的, 激烈的, 吵闹的"
futile,"a. 无用的, 琐细的, 不重要的"
usability,"n. 可用性
"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
gage,"n. 抵押品, 挑战
vt. 以...为担保, 以...为赌注
n. 抵押品, 标准度量, 计量器
vt. 精确计量, 估计"
gasoline,"n. 汽油
"
tar,"n. 焦油, 柏油, 水手
vt. 涂以焦油, 玷污, 怂恿
a. 焦油的"
petroleum,"n. 石油
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化"
generalization,"n. 一般化, 普遍化, 概括
"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
pervasion,"n. 扩散, 渗透, 弥漫, 流行"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
transfuse,"vt. 输血, 充满
"
gesticulate,"v. 用手势谈话, 用姿势表达"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
ski,"n. 滑雪橇
vi. 滑雪"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
grope,"v. 摸索
n. 摸索"
gymnasium,"n. 健身房, 体育馆
"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
stadium,"n. 露天大型运动场
"
hardware,"n. 硬件, 五金器具, 零件
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
straw,"n. 稻草, 麦管, 吸管, 一文不值的东西, 草帽
a. 稻草的, 稻草色的, 琐碎的, 无价值的"
vegetation,"n. 植物
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
lawn,"n. 草地, 草坪, 上等细麻布
"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
reed,"n. 芦苇, 芦笛, 簧舌, 纤弱的人
vt. 用芦苇盖, 用小凸嵌线装饰"
thorn,"n. 刺, 棘, 荆棘"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
oak,"n. 橡树, 橡木
a. 橡木制的"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
headquarters,"n. 总部, 司令部, 总部人员
"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
heir,"n. 继承人, 嗣子, 后嗣
"
lineage,"n. 血统, 直系
"
henceforth,"adv. 自此以后, 今后"
thereafter,"adv. 其后, 从那时以后"
highland,"n. 高地, 苏格兰高地"
isle,"n. 小岛, 群岛
vt. 使成为岛状
vi. 住在岛屿上"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
ridge,"n. 脊, 山脊, 山脉
"
waterfall,n. 瀑布
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
horsepower,"n. 马力
"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
humid,"a. 潮湿的, 湿润的, 多湿气的"
humidity,"n. 湿气, 潮湿, 湿度
"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
moisture,"n. 湿气, 水分, 降雨
"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
mansion,"n. 大厦, 宅邸"
hyperactive,"a. 活动过度的
"
inertia,"n. 惯性, 惰性, 迟钝
"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
identification,"n. 识别, 身份证明, 认同
"
idiot,"n. 白痴, 极蠢之人
"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
witty,"a. 富于机智的, 诙谐的"
immerge,"vi. 浸入, 隐没, 埋头"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
incapable,"a. 无能力的, 不能的
"
aptitude,"n. 资质, 才能, 自然倾向
"
incursion,"n. 侵入, 侵略, 奇袭"
incursive,"a. 流入的, 侵入的"
intrude,"vi. 闯入, 侵入
vt. 强加于"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
infrared,"a. 红外线的
n. 红外线"
ultraviolet,"a. 紫外线的
"
laser,"n. 激光
"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
radioactive,"a. 放射性的, 有放射能的
"
radioactivity,"n. 放射性
"
inscription,"n. 题字, 碑铭
"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
statue,"vt. 以雕像装饰
n. 雕像"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
rectitude,"n. 正直, 纯正, 正确
"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
insulate,"vt. 使绝缘, 隔离
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
triviality,"n. 琐事, 平凡, 浅薄"
intersection,"n. 交集, 十字路口, 交叉点
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
introspect,"vt.vi. 进行反省
"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
irrelative,a. 无关系的
irrespective,"a. 不顾的, 无关的, 没关系的"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
layman,"n. 俗人, 门外汉, 凡人
"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
melody,"n. 曲子, 美妙音乐, 曲调"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
mirth,"n. 欢笑, 欢乐, 愉快"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
mourn,"v. 哀悼, 忧伤, 服丧"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
judiciary,"a. 司法的, 法院的, 法官的
n. 司法部, 司法系统, 法官"
censorship,"n. 检查制度
"
kettle,"n. 茶壶, 罐
"
mug,"n. 有柄大杯, 脸, 苦读者
vt. 给...拍照, 攻击, 苦读
vi. 拼命用功"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
saucer,"n. 茶碟, 茶托
"
tray,"n. 托盘, 公文盘, 满盘, 发射箱
"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
nephew,"n. 侄子, 外甥"
niece,"n. 侄女, 甥女"
kindergarten,n. 幼稚园
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
transparent,"a. 透明的, 显然的, 清晰的
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lavatory,"n. 洗脸盆, 厕所"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
towel,"n. 手巾, 毛巾
v. 擦干身子"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
leaflet,"n. 小叶, 传单
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
linear,"a. 线的, 直线的, 线状的
"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
locality,"n. 地方, 所在, 位置
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
longevity,"n. 长命, 长寿, 寿命
"
longsighted,"a. 远视的, 有远见的"
optical,"a. 眼睛的, 视觉的, 光学的
"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
width,"n. 宽度, 宽广, 广博
"
altitude,"n. 高度, 海拔, 高处
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
malnutrition,"n. 营养失调, 营养不良
"
maltreat,"vt. 虐待, 滥用
"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
tactics,"n. 用兵学, 战术, 兵法
"
medieval,"a. 中古的, 中世纪的"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
metric,"a. 公尺的, 公制的, 计量的
"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
miraculous,"a. 奇迹的, 不可思议的"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
mosaic,"n. 马赛克, 镶嵌细工, 镶嵌工艺
a. 马赛克的, 镶嵌细工的, 拼花的
vt. 用镶嵌细工装饰
"
multiform,"a. 各种形式的, 多样的, 多种的
"
tedious,"a. 沉闷的, 冗长乏味的"
multilingual,a. 多语言的
unilingual,"a. 使用一种语言的, 单语的"
mutable,"a. 易变的, 性情不定的"
mutability,"n. 易变性, 性情不定
"
unconverted,"a. 未转变的, 不变化的, 不改变信仰的
"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
sneeze,"n. 喷嚏
vi. 打喷嚏"
nationality,"n. 国籍, 国家, 民族性
"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nonexistent,a. 不存在的
simultaneous,"a. 同时的, 同时发生的
"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
novice,"n. 新手, 初学者"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
sensation,"n. 感觉, 轰动
"
sensational,"a. 使人感动的, 非常好的"
oath,"n. 誓约, 誓言, 咒骂
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
omission,"n. 省略, 遗漏, 疏忽
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
oppress,"vt. 压迫, 压抑, 使烦恼"
oppression,"n. 压抑, 沉闷, 压迫手段
"
repression,"n. 抑制, 压抑, 制止
"
opt,vi. 选择
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
solitary,"n. 独居者
a. 孤独的, 独居的"
solitude,"n. 孤独, 单独, 孤寂"
orthodox,"a. 正统的, 传统的, 惯常的"
outskirts,"n. 近郊, 市郊"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
overstrain,"vt. 伸张过度, 使过度紧张, 使工作过度
vi. 过度紧张
n. 过度紧张, 过劳"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
pact,"n. 契约, 协定, 条约
"
treaty,"n. 条约, 谈判
"
pail,"n. 桶, 提桶"
tub,"n. 桶, 浴盆
vt. 装入桶, 洗澡
vi. 洗盆浴, 被放在桶里洗"
paperback,"n. 平装本, 纸面本"
parameter,"n. 参变数, 参变量, 参数, 参量
"
partake,"vt. 参与, 分担, 分享
vi. 分享, 参与, 带有"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
sticky,"a. 粘的, 有粘性的, 顽固的"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
credential,"n. 国书, 凭据, 证明书
"
pickup,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
quilt,"n. 棉被
vt. 加软衬料后缝制, 东拼西凑地编
vi. 缝被子"
sofa,n. 沙发
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
pint,"n. 品脱(干量或液量的单位)
"
piston,"n. 活塞, 活塞阀键
"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
portable,"a. 可携带的, 可搬运的, 可移动的
"
portage,"n. 陆上运输, 搬运
v. 转到陆上运输"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
postwar,a. 战后的
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
weapon,"n. 武器, 兵器
vt. 武装"
pistol,"n. 手枪, 信号枪
vt. 以手枪杀死(或伤害)"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
propulsion,"n. 推进, 推进力
"
impel,"vt. 推动, 激励, 驱使, 迫使"
prototype,"n. 原型
"
miniaturization,"n. 微型化
"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
puppet,"n. 傀儡, 木偶
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
