finale,"n. 结局, 最后乐章, 终曲"
cornfield,n. 玉米田
approximation,"n. 接近, 近似值
"
tombstone,"n. 墓石, 墓碑
"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
leaflet,"n. 小叶, 传单
"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
newlywed,"n. 新(婚的)人, 新婚夫妇"
fullness,"n. 满, 充满, 丰富
"
thirty-six,三十六
snowball,"n. 雪球, 果味冰霜卷, 滚雪球式的募捐法
vt. 向...丢雪球, 使滚雪球般增长
vi. 打雪仗, 滚雪球般增长"
cooling,"n. 冷却
a. 冷却的
"
polluted,"a. 被污染的, 被玷污的, (美)(非正式)喝得烂醉的"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
Apache,"n. 阿帕切族(美洲印第安部族)
"
subpoena,"n. 传票
vt. 传审, 传唤"
stud,"n. 装饰钮扣, 大头钉, 领扣, 种马
vt. 镶嵌, 点缀, 散布"
forested,a. 草木丛生的
discarded,"v. 丢弃, 抛弃( discard的过去式和过去分词 ); 不再使用"
equatorial,"a. 近赤道的, 赤道的
"
lymph,"n. 淋巴
"
download,"[计] 卸载, 下栽"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
posting,
percentile,
padding,"n. 垫充, 垫塞, 填料, 废话, 虚报的费用
"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
piping,"n. 吹笛, 笛声, 管道, 尖锐声音, 衣服滚边
a. 吹笛的, 高音的, 平静的, 乐声优雅的"
brandish,"vt. 挥, 挥舞
n. 挥舞"
spire,"n. 尖塔, 尖顶, 锥形体, 螺旋
vi. 突出, 耸立, 螺旋形上升
vt. 给...加塔尖"
clatter,"n. 咔嗒声, 哗啦声, 嘈杂的谈笑声
vi. 发出哗啦声, 喧闹的谈笑
vt. 使咔嗒咔嗒地响"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
crevice,"n. 裂缝
"
pragmatism,"n. 实用主义
"
predicate,"n. 谓语, 谓项
a. 谓语的
vt. 断定为, 使基于, 意味着, 预言
vi. 断言
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
substrate,"n. 底层, 地层, 衬底, 基底, 基质, 酶作用物, 酶解物
"
forefinger,"n. 食指
"
benefactor,"n. 恩人, 捐助者, 施主
"
morphine,"n. 吗啡
"
questioning,"[法] 审问, 讯问, 质问"
jumping,a. 跳跃的
inlet,"n. 进口, 插入物
"
coffer,"n. 保险箱, 金库
vt. 把...锁进箱子"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
enlargement,"n. 扩大, 肿大, 肥大, 增大, 放大的照片, 放大, 扩建部分, 增补物, 扩展
"
homemaker,n. 主妇
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
outgrow,"vt. 过大而不适于, 长得比...高(或大、快), 成长得不再具有..."
Buddhist,"n. 佛教徒
a. 佛教的"
agreeable,"a. 令人愉快的, 同意的
"
brownie,n. 界仁巧克力饼
controlling,
brunch,n. 早午餐
stave,"n. 狭板, 梯级, 棍棒, 诗句
vt. 击穿, 弄破, 敲打, 赶走
vi. 穿孔, 破碎"
allegory,n. 寓言
proverbial,"a. 谚语的, 谚语式的, 闻名的"
inverted,"a. 倒转的, 反向的"
brunt,"n. 主要冲力, 冲击"
interchange,"n. 立体交叉道, 互换
vt. 交换, 互换
vi. 交替发生"
unlucky,"a. 不吉利的, 不祥的, 不幸的"
rusted,v. （使）生锈( rust的过去式和过去分词 )
madly,"adv. 发狂地, 精神失常地, 愚蠢地"
abolition,"n. 废除, 废奴运动
"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
brat,"n. 乳臭未干的小孩, 小孩
"
artistry,n. 艺术性
propriety,"n. 礼貌, 规矩, 适当
"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
freckle,"n. 雀斑, 斑点
"
alcove,"n. 凹室, 壁龛, 小亭"
shovel,"n. 铲, 铁铲
v. 铲"
take-out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
unsolved,"a. 未解释的, 未解决的"
penetrating,"a. 敏锐的, 尖锐的, 伸入很深的, 了解透彻的
"
wriggle,"n. 蠕动, 蜿蜒
vi. 蠕动, 蜿蜒前进, 摆脱
vt. 使扭动, 扭动着爬"
parting,"n. 告别, 分歧处, 分界点
a. 离别的, 逝去的, 分隔的"
nag,"n. 老马, 驽马, 劣等竞赛马, 唠叨
v. 不断地唠叨, 恼人"
restoring,a. 恢复的
snowmobile,n. 雪上机动车
nervousness,"n. 神经, 神经元, 易激动, 紧张不安, 神经过敏, 神经质, 担忧, 害怕, 简练, 刚劲
"
impenetrable,"a. 不能通过的, 不可理喻的, 费解的, 顽固的"
blocker,"[医] 阻滞物, 阻滞剂, 阻滞抗体"
spoke,"n. 轮辐
vt. 装轮辐, 用刹车刹住
speak的过去式"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
outsource,vt. 把…外包
spooky,"a. 幽灵一般的, 吓人的, 令人毛骨悚然的"
giver,"n. 给予者, 赠予人"
critter,n. [方][谑]家畜；马；牛；[贬]人
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
one-day,有一天
avant-garde,"n. 前卫; 先锋
adj. 前卫的"
symmetrical,"a. 对称的, 匀称的
"
violinist,"n. 小提琴演奏者, 小提琴家"
elaboration,"n. 苦心经营, 精巧
"
divulge,"vt. 泄露, 透露"
Portuguese,"n. 葡萄牙人, 葡萄牙语
a. 葡萄牙的, 葡萄牙人的, 葡萄牙语的"
oops,interj. (表示惊讶、沮丧、谢罪等)哎哟
convincingly,"adv. 有说服力, 使人信服, 令人信服"
reciprocity,"n. 相互性, 相互作用, 互惠主义
"
knockout,"n. (拳击)击倒对方, 被击倒, 击倒, (非正式)令人倾慕的人/物, 轰动的事物
a. 击倒的, 引人注目的, 轰动的, 使昏迷的"
retrace,"vt. 追溯, 折回, 绕回
"
payback,[经] 报酬率
transcendence,"n. 超越, 卓越, 卓绝"
informally,adv. 非正式地；不拘礼节地
implore,"vt. 恳求, 哀求"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
slang,"n. 俚语
v. 辱骂, 用俚语说"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
laud,"n. 赞美, 称赞
vt. 赞美, 称赞"
noun,n. 名词
latex,"n. 乳液, 胶乳
"
austere,"a. 严峻的, 禁欲的, 简朴的"
dab,"n. 少量, 轻拍, 比目鱼, 熟手
v. 轻拍, 轻擦"
vis-a-vis, [医]对面，相对
pluralistic,"a. 兼职的, 多元论的"
self-reported,"自我报告的
自述的"
skillfully,adv. 巧妙地；精巧地
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
brotherhood,"n. 手足情谊, 兄弟关系"
reminisce,"vt. 追忆说
vi. 追忆往事, 话旧"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
neurologist,"n. 神经病学者, 神经科医师
"
penal,"a. 有关处罚的, 刑的, 刑罚的, 刑法上的, (课税)繁重的
"
toothpick,n. 牙签
distaste,"n. 讨厌, 嫌恶"
redistribution,"n. 重新分配, 再分发
"
inpatient,n. 住院病人
whisker,"n. 腮须, 胡须, 一丝儿
"
sloping,"a. 成斜坡的, 倾斜的"
mascara,"n. 染眉毛油
vt. 在...上涂染眉毛油"
rerun,"n. 重新开动, 再度上演
vt. 重新开动, 再度上演
"
sanctity,"n. 神圣, 尊严, 圣洁
"
jot,"n. 少量, 稍许
vt. 略记, 摘要记载下来"
alternating,"a. 交互的
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
typing,"n. 打字, 键入
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
experiential,"a. 经验的, 根据经验的, 经验上的"
limelight,"n. 石灰光, 石灰光灯, 以石灰光灯照射的舞台
vt. 使受到注目, 使显露头角"
confessional,"a. 自白的, 忏悔的
n. 告解室"
diminished,a. 减退了的；减弱的
cramp,"n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚"
yearbook,n. 年鉴
bran,"n. 糠, 麸
"
desegregation,n. 废止种族隔离
impeach,"vt. 控告, 怀疑, 检举, 弹劾
"
exuberance,"n. 茂盛, 茂盛的生长物, 丰富"
recoup,"vt. 偿还, 赔偿, 补偿, 扣除
vi. 补偿损失"
Arab-Israeli,[网络] 阿拉伯以色列人；以阿冲突；以色列阿拉伯裔
hush,"n. 肃静, 安静, 沉默
vt. (使)肃静, (使)安静, (使)缄默
interj. 嘘, 别作声"
intractable,"a. 不听话的, 倔强的, 棘手的
"
predate,"vt. 倒填...的日期, 把...的日期填早, 在日期上早于, 在日期上先于
"
enlarged,v. 扩大( enlarge的过去式和过去分词 ); 扩展; 扩充; 放大
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
vet,"n. 兽医
vi. 当兽医
vt. 诊断, 检审"
decision-maker,[经] 决策人
flip-flop, 双稳态多谐振荡器
stored,a. 储存的
Sudanese,"a. 苏丹的, 苏丹人的
n. 苏丹人"
separatist,"n. 分离主义者, 独立派"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
pheasant,"n. 雉鸡, 野鸡, 雉科鸟"
tweed,"n. (粗)花呢, 花呢服装"
melodrama,"n. 音乐剧, 传奇剧, 戏剧似的事件"
hurriedly,adv. 仓促地；匆忙地
grizzly,"a. 略为灰色的, 呈灰色的
n. 灰熊"
font,"n. 字体, 字形, 洗礼盘, 泉
"
gloved,a. （手）戴着手套的
time-out,n. [体]暂停比赛时间; [计]超时
looking,a. 有…相貌的；有…样子的
decode,"vt. 解码, 译解
"
teeming,"a. 充满的, 群集的, 多产的
"
dialectic,"a. 辩证的, 辩证法的
n. 辩证法, 逻辑论证"
Andean,a. 安第斯山脉的
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
embroider,"vt. 刺绣, 镶边, 装饰
vi. 绣花"
traditionalist,"n. 传统主义者, 因循守旧者"
reservist,n. 后备军人
screwdriver,"n. 螺丝起子
"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
buttermilk,"n. 脱脂乳, 酪乳
"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
wavy,"a. 有波浪的, 多浪的, 波浪状的, 波动的, 不稳定的"
never-ending,"adj. 没底的
"
awash,"a. 与水面齐平的, 被浪冲打的"
Norman,"adj. 诺曼第人的；诺曼第语的
n. 法国诺曼第人"
nudity,"n. 裸露, 裸露物, 裸体像"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
dignitary,"n. 高贵的人, 高官, 高僧, 要人"
twenty-nine, 二十九
oncoming,"a. 接近的, 即将到来的, 新兴的
n. 来临"
revisionist,"n. 修正主义者
a. 修正主义的"
sanitary,"a. 卫生的
n. 公共厕所"
grinding,"a. 刺耳的, 沉重的, 剧烈的
"
disengage,"vt. 使脱离, 使松开, 使摆脱约束(或义务等)
vi. 脱离, 解脱"
appropriateness,n. 适当；适合
douse,"vt. 插入水中, 浇(或洒、泼)水在...上, 熄(灯、火等), 平息
vi. 浸泡
n. 泼洒"
unspecified,"a. 未特别指出的, 未特别提到的"
alarmed,a. 受惊的；焦虑的；惊恐的
cove,"n. 山凹, 小湾
v. (使)内凹, (使)成拱形"
nonlinear,"a. 非线性的
"
snuggle,"vi. 偎依
vt. 使舒适温暖, 紧抱"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
snowfall,"n. 降雪, 降雪量"
maize,"n. 玉蜀黍, 黄色
a. 玉蜀黍色的, 黄色的"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
crunchy,a. 发嘎吱嘎吱声的
townhouse,n. 连栋房屋; 城市住房
hereditary,"a. 世袭的, 遗传的
"
namesake,"n. 同名人, 同名物"
safari,"n. 旅行, 旅行队, 科学考察"
sickly,"a. 病弱的, 令人不快的, 无精打采的
adv. 病态地
vt. 使现病容"
importer,"n. 输入者, 进口商
"
reputable,"a. 受好评的, 有声望的, 规范的
"
filament,"n. 细丝, 细线, 灯丝, 单纤维
"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
tactile,"a. 触觉的, 有触觉的
"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
immigrate,"vt. 使移居入境
vi. 移入"
blurry,"a. 模糊的, 不清楚的, 污脏的"
tequila,"n. 蒸馏酒, 龙舌兰酒"
acne,"n. 痤疮, 粉刺
"
gratifying,"a. 悦人的, 令人满足的"
unattractive,"a. 无吸引力的, 无魅力的, 乏味的, 不美的"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
sclerosis,"n. 硬化症, 硬化, 僵化
"
cockroach,"n. 蟑螂
"
cortex,"n. 皮层
"
bellow,v. 怒吼
clamp,"n. 夹钳
vt. 夹紧, 强加"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
keynote,"n. 主调音, 基音, 基调
vt. 说明基本政策, 定基调"
Moroccan,"a. 摩洛哥的
n. 摩洛哥人"
physique,"n. 体格, 体形
"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
defection,"n. 背叛, 缺乏, 毛病
"
lieu,n. 场所
emergent,"a. 紧急的, 浮现的, 出现的, 自然发生的
"
transfix,"vt. 刺穿, 使呆住, 使固定
"
lifeline,"n. 救生索, 生命线"
recharge,"vt. 再充电, 再装填, 再控告, 再袭击
vi. 再袭击
n. 再袭击, 再装填"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
mainstream,n. 主流
wanting,"a. 欠缺的, 不足的, 不够格的
prep. 没有, 缺少"
broad-based, [医]广基的
malnutrition,"n. 营养失调, 营养不良
"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
immediacy,"n. 直接, 目前, 迫切需要的事物"
signed,a. 有符号的；有正负之分的；已签字的
softness,"n. 柔和, 温柔"
unsuspecting,"a. 不怀疑的, 无疑虑的, 信任的
"
mockery,"n. 嘲弄, 笑柄, 歪曲"
abused,"n. 受虐；滥用, 恶习"
scrawl,"vt. 潦草地写
vi. 乱写
n. 潦草的笔迹"
unexplained,"[法] 未经说明的, 未经解释的"
disband,"vt. 解散, 遣散
vi. 被解散"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
painstakingly,adv. 煞费苦心地；费力地
bonanza,"n. 富矿带, 带来好运的事物, 幸运"
typify,"vt. 代表, 象征, 为...之典型"
eloquently,adv. 善辩地；富于表现力地
diverge,"vi. 分歧, 岔开
vt. 使岔开"
remake,"vt. 再作, 再制, 重作
n. 再制, 改作, 重制物"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
townspeople,"n. 镇民, 市民, 城里生长的人, 城镇居民"
dilapidated,"a. 破坏的；荒废的, 要塌似的"
wearily,"adv. 疲倦地, 厌倦地, 无聊地"
renal,"a. 肾脏的, 肾的
"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
unrelenting,"a. 不怜悯的, 无情的, 冷酷的"
embroidered,a. 绣花的；刺绣的
intangible,"a. 难以明了的, 无形的
"
shrapnel,"n. 零钱, 榴霰弹, 弹片"
skating,n. 溜冰
hump,"n. 驼背, 圆形隆起物, 鸵峰
vi. 隆起, 急速行进, 努力
vt. 使弓起, 使烦恼, 使努力干"
herbicide,"n. 除草剂
"
tattoo,"n. 归营号, 连续有节奏的敲击, 文身, 矮种马
vt. 连续有节奏地敲, 刺花纹于
vi. 作连续有节奏的敲击"
deductible,"a. 可扣除的
"
corrosion,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈
"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
rung,"n. (梯子)踏步, 横档, 轮辐, 粗棍
ring的过去分词"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
legality,"n. 合法, 正当
"
retract,"v. 缩回, 收回, 取消, 撤消"
frontline,"n. 前线; [体]锋线（包括大前锋, 小前锋, 中锋）"
web-based,基于网络
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
digestion,"n. 消化力, 领悟
"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
mischievous,"a. 淘气的, 有害的, 恶作剧的, 胡搅的"
toothbrush,n. 牙刷
offending,a. 不愉快的；厌恶的
weighty,"a. 重的, 有份量的, 沉重的, 重大的, 严肃的
"
mouthpiece,"n. 发话筒, 代言人, (电话)送话口
"
obligatory,"a. 义务的, 必须的, 强制性的
"
mechanically,"adv. 机械, 用机械, 机械学, 物理, 力学, 呆板, 无意识, 手工操作, 技工"
nip,"n. 捏, 夹, 寒冷, 尖刻话
vt. 捏, 夹, 钳, 剪断, 损伤, 冻伤, 一小口
vi. 夹, 捏, 刺骨, 快走, 一小口一小口地抿(酒)
"
Hindu,"a. 印度教教徒的
n. 印度教教徒"
jumble,"vi. 搀杂, 混杂
vt. 搞乱, 使混乱
n. 混乱, 薄饼"
fabled,"a. 寓言(或传说、神话)中的, 虚构的"
pothole,n. 壶穴
hopelessness, 绝望
purchaser,"n. 买方, 购买者
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
stairs,n. 楼梯
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
elliptical,"a. 椭圆的
"
distressing,"a. 使痛苦的, 使烦恼的"
counterpoint,"n. 对位法, 旋律配合, 复调"
composting,堆制肥料
responsiveness,"n. 强烈的反应
"
triad,"n. 三个一组, 三件一组, 三和音
"
fiat,"n. 命令, 严命, 许可
"
one-fifth,"na. 五分之一
"
masking,
high-energy,高能量;高能率
madman,"n. 疯子, 精神病患者
"
earner,n. 赚钱的人
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
navel,"n. 脐, 肚脐, 中央, 中心
"
cocky,"a. 骄傲的, 自大的, 太过自信的"
boardwalk,"n. 木板路, 木板铺成的散步道"
decimate,"vt. 每十人杀一人, 大批杀害"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
precept,"n. 规诫, 规矩, 格言, 训令
"
rake,"n. 耙子, 钱耙, 斜度, 浪子
v. 搜索, 掠过, (用耙子)耙, (使)倾斜"
unparalleled,"a. 无比的, 无双的, 空前的"
farce,"n. 闹剧, 滑稽剧, 胡闹"
visualization,"n. 可见性, 形象化
"
unchecked,"a. 未加抑制的, 未经检查的
"
paternity,"n. 父亲身份, 父系血统, 创始人(身份), 来源, 出处
"
diligently,adv. 勤奋地；勤勉地
unwind,"vt. 展开
"
menstrual,"a. 月经的, 一月一次的, 每月的
"
percussion,"n. 敲打, 碰撞, 叩击, 叩诊, 击发, 打击, 打击乐器组
"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
regeneration,"n. 再生, 重建
"
expressed,v. 表达( express的过去式和过去分词 ); （用符号等）表示; 榨; [express oneself]（如在说话、写作或绘画中）表达（自己）的意见
inept,"a. 不适当的, 不理智的, 笨拙的
"
maverick,"n. 未烙饲主印记的小牛, 持不同意见的人
vi. 迷路"
appendix,"n. 附录, 附加物, 阑尾
"
Scandinavian,"n. 斯堪的纳维亚人, 斯堪的纳维亚语, 北欧日耳曼语系
a. 斯堪的纳维亚人的, 斯堪的纳维亚语的, 北欧日耳曼语系的"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
painless,"a. 无痛的, 不痛的
"
visor,"n. 面甲, 帽舌, 面罩"
privy,"a. 个人的, 私人的, 秘密的, 隐蔽的
n. 有利害关系的人, 当事人, 厕所"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
urbanization,"n. 都市化
"
whimper,"n. 抽泣, 呜咽, 啜泣, 哭诉
vi. 呜咽, 啜泣, 抽噎地哭
vt. 呜咽着说, 啜泣着说"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
tummy,"n. 胃, 肚子"
cholera,"n. 霍乱
"
ultimatum,"n. 最后通牒, 基本原理
"
bravado,n. 虚张声势
conveyor,"n. 搬运者, 传达者, 转让财产者, 输送机, 输送设备
"
wide-open,"充分张开的, 开得很大的"
