economy,"n. 经济, 理财, 节约
"
countdown,"n. 倒计数
"
crackdown,"n. 制裁, 镇压, 痛击"
propel,"vt. 推进, 驱使
"
propeller,"n. 螺旋桨, 推进器
"
compel,"vt. 强迫, 迫使"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
gospel,"n. 福音, 信仰, 真理"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
tan,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
hence,"adv. 因此, 从此"
henceforth,"adv. 自此以后, 今后"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
moisture,"n. 湿气, 水分, 降雨
"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
noisy,"a. 嘈杂的, 喧闹的
"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
poised,"a. 平衡的, 均衡的, [表]作好准备的, (褒)沉着的, 泰然自若的, 自信的"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
hurtful,"a. 造成损害的, 伤感情的, 伤害的"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
explicit,"a. 详述的, 清楚的, 直言的"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
illicit,"a. 不法的, 不正当的, 禁止的
"
solicit,"v. 请求, 乞求, 招揽, 征求"
solicitor,"n. (英)律师, 初级律师, (美)法务官, (美)掮客, 游说者, (美)募捐者
"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
jeopardy,"n. 危难, 危险
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
magnificence,"n. 富丽堂皇, 华丽, 宏大"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
mammal,"n. 哺乳动物
"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
tease out,"na. (将纠缠在一起的东西)整理；得出
"
dimensional,"a. ...维的
"
mansion,"n. 大厦, 宅邸"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
think twice,重新考虑
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
socket,"n. 窝, 穴, 插座, 眼窝
vt. 插进插座
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
abolish,"vt. 废止, 革除, 消灭
"
abolition,"n. 废除, 废奴运动
"
unprecedented,"a. 空前的
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
preceding,"a. 在前的, 前面的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
gray,"n. 灰色, 暗淡
a. 灰色的, 灰白的, 面色苍白的, 年老的, 老练的, 阴沉的
v. (使)变灰色"
pray,"v. 祈祷, 恳求, 请"
prayer,"n. 祈祷, 恳求, 祷辞, 祈祷者"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
prey on,"捕食, 掠夺"
tray,"n. 托盘, 公文盘, 满盘, 发射箱
"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
betrayal,"n. 背叛, 辜负
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
portrayal,"n. 描绘, 描写, 画像, 肖像
"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
astray,"adv. 迷途地, 入歧途地
"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
evoke,"vt. 唤起, 引起, 召(魂)
"
provoke,"vt. 激怒, 惹起, 诱导
"
provocation,"n. 激怒, 刺激, 挑拨
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
calling,"n. 职业, 行业, 呼唤, 召集
"
so-called,adj. 所谓的
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affiliation,"n. 联系, 从属关系
"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
retaliation,"n. 报复
"
affinity,"n. 吸引, 姻亲关系, 类同
"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
shaky,"a. 震动的, 摇晃的, 动摇的"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
sake,"n. 目的, 缘故, 理由"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
speak out,"大胆地说, 大声地说"
microscope,"n. 显微镜
"
microscopic,"a. 显微镜的, 用显微镜可见的, 微观的, (非正式)极微小的, 细微的
"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
telescopic,"a. 望远镜的, 用望远镜看到的, 套管式的, 伸缩的
"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
somewhere,"adv. 到某处, 在某处"
somehow,adv. 不知何故
thesis,"n. 论题, 论文"
hypothesis,"n. 假设
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
synthesis,"n. 综合, 组织, 综合体
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
synthesize,"v. 综合, 合成"
theme,"n. 主题, 话题, 题目"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
tricky,"a. 狡猾的, 机敏的"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
cricket,"n. 蟋蟀, 板球"
whereas,"conj. 然而, 鉴于
"
whereabouts,"n. 下落, 所在之处
adv. 在何处"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
all manner of,各种各类的
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
versus,"prep. 对...
"
a case in point,恰当的例子
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
drip,"n. 水滴
v. (使)滴下"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
zipper,n. 拉链
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
acquaint,"vt. 使认识, 介绍"
acquaintance,"n. 认识, 相识者"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
saint,"n. 圣徒, 圣人
a. 神圣的
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
bury,"vt. 埋葬, 埋藏"
burial,"n. 埋葬, 葬礼
"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
furious,"a. 狂怒的, 激烈的, 吵闹的"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
heaven,"n. 天堂, 上帝, 天空"
bet,"n. 打赌, 赌注
v. 打赌"
anywhere near,"几乎,将近,差不多;那么"
worth one's salt,"称职, 胜任"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bulletin,"n. 公告, 布告, 公报
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
bulky,"a. 庞大的
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
wrestling,n. 摔跤
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
brag,"n. 吹牛
v. 吹牛"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
raggedly,"adv. 破烂地, 粗糙地"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
alleviate,"vt. 减轻, 使缓和"
alleviation,"n. 减轻, 缓和, 镇痛物
"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
deviation,"n. 背离
"
aviation,"n. 航空, 航空学, 飞行术
"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
triangle,"n. 三角形, 三个一组, 三角关系
"
triangular,"a. 三角形的, 三人间的
"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
intangible,"a. 难以明了的, 无形的
"
appetite,"n. 食欲, 欲望, 爱好
"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
apparatus,"n. 装置, 器具, 器官
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
applause,"n. 鼓掌, 喝彩, 赞许"
cowboy,"n. 牛仔, 牛郎, 牧童"
boycott,"n. 联合抵制
vt. 联合抵制"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
chaos,"n. 大混乱, 混沌
"
chaotic,"a. 混乱的, 无秩序的
"
chart,"n. 图表, 海图
vt. 制成图表
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
chapter,"n. 章, 篇, 重要章节
"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
carton,"n. 硬纸盒, 纸板箱
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
Grand Tourists,无
condemn,"vt. 判刑, 责备, 谴责
"
condemnation,"n. 非难, 宣告有罪, 非难的理由"
amnesty,"n. 大赦, 赦免"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
rendering,"n. 翻译, 表现, 描写, 表演, 打底, 透视图"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
defend,"vt. 防护, 辩护, 防卫
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
defendant,"n. 被告
"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
defense,"n. 防卫, 防卫物
"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
offender,"n. 罪犯, 无礼的人, 得罪人的人"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
offense,"n. 犯罪, 伤感情, 攻击"
erupt,"vi. 爆发
vt. 喷出"
eruption,"n. 爆发, 喷出物, 出疹
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
side effect,"副作用
"
disruptive,"a. 分裂的, 破坏(性)的
"
disruption,"n. 分裂, 崩溃, 瓦解"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
distort,"vt. 扭曲, 歪曲
"
distortion,"n. 扭曲, 变形, 曲解
"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
"
forth,"adv. 往前, 以后, 向外"
forthcoming,"a. 即将来临的
n. 来临"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
haunted,"a. 常出现鬼的, 闹鬼的"
haunting,"a. 常浮现于脑海中的, 不易忘怀的"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
heir,"n. 继承人, 嗣子, 后嗣
"
heiress,"n. 嗣女, 女继承人
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
lobbyist,"n. 说客
"
give in to,向…呈上；向…交上(试卷等)；屈服于，向…让步；向…投降
hobby,"n. 嗜好, 癖好, 爱好"
horizon,"n. 地平线, 眼界, (天)视地平"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illumination,"n. 照明, 阐明, 启发
"
illusion,"n. 幻影, 错觉, 幻想
"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
luminous,"a. 发光的, 明亮的
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
nowhere near,离...很近
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
"
eminent,"a. 显赫的, 杰出的, 有名的"
eminence,"n. 显赫, 名家, 高处
"
imminent,"a. 即将来临的, 逼近的"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperialism,"n. 帝国主义, 帝制
"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
impetus,"n. 动力, 推动力, 动量
"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
dense,"a. 密集的, 浓厚的"
density,"n. 密度
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
condensation,"n. 压缩, 凝缩, 冷凝
"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
upload,"[计] 上装, 加载, 储入"
download,"[计] 卸载, 下栽"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
lyrical,"a. 抒情诗调的, 有抒情味的, 感情丰富的"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
remedial,"a. 治疗的, 补救的, 矫正的
"
melody,"n. 曲子, 美妙音乐, 曲调"
melodious,"a. 旋律美妙的, 旋律优美的, 有乐曲的"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
ridiculous,"a. 荒谬的, 可笑的"
molecule,"n. 分子, 些微
"
molecular,"a. 分子的, 由分子组成的
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
paradise,"n. 天堂, 乐园, 伊甸园"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
phrasal,"a. (含有)短语的, 成语的, 惯用语的, 用语上的, 乐句的"
erase,"vt. 抹去, 擦掉
"
control for,无
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
quotation,"n. 引用语, 语录, 牌价, 报价
"
quota,"n. 配额, 限额
"
wallet,"n. 皮夹
"
bullet,"n. 子弹
"
outlet,"n. 出口, 发泄方法, 市场
"
pamphlet,"n. 小册子, 活页文选"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
warranty,"n. 正当理由, 授权, 担保, 保证, 根据
"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
aloft,"adv. 在高处, 在上"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulgence,"n. 沉溺, 放纵, 嗜好
"
indulgent,"a. 纵容的, 任性的, 宽容的"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
fortnight,n. 两星期
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
knight,"n. 骑士, 爵士
vt. 授以爵位"
benign,"a. 善良的, 良性的
"
