absence,"n. 缺席, 缺乏, 没有
"
legacy,"n. 祖先传下来之物, 遗赠物
"
legion,"n. 军团, 军队, 众多的人"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
lightweight,"n. 不到平均重量的人/物, 轻量级, 无足轻重的人, 性格不够强的人
a. 平均重量以下的, 重量轻的
"
liken,"vt. 比喻, 比拟"
lingual,"a. 舌的, 舌音的, 语言的
n. 舌音"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literary,"a. 文学的, 文艺的, 精通文学的
"
loath,"a. 不情愿的, 厌恶的"
lopsidedness,n. 不平衡
loyal,"a. 忠诚的, 忠实的, 忠贞的"
lucrative,"a. 有利益的, 获利的, 合算的"
lunatic,"n. 疯人, 癫狂者, 愚蠢的人
a. 疯癫的, 愚蠢的, 丧心病狂的, 精神错乱的"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
mainline,"n. 主线, 干线
vt.vi. (美)(非正式)把(毒品)直接注射入静脉"
majestic,"a. 宏伟的, 庄严的"
malnourished,"a. 营养失调的, 营养不良的"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
mansion,"n. 大厦, 宅邸"
manufacturable,可制造的
manure,"n. 肥料, 粪肥
vt. 施肥于"
mechanics,"n. 机械学, 结构, 力学
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
meticulously,"adv. 过细地, 细致地"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
momentum,"n. 动力, 动量
"
monotonous,"a. 单调的, 无变化的"
moody,"a. 心情不稳的, 郁郁寡欢的, 喜怒无常的"
morale,"n. 士气, 道德"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
mutate,"vi. 变化, 产生变异, 变化元音
vt. 使变异"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
mystical,"a. 神秘的, 奥秘的"
mystify,"vt. 使神秘化, 使难解, 迷惑
"
naive,"a. 天真的, 纯真的, 幼稚的"
narration,"n. 叙述, 故事, 叙述文
"
nasty,"a. 污秽的, 下流的, 险恶的"
natty,"a. 整洁的, 帅的, 清楚的, 敏捷的"
naturalistic,"a. 自然的, 自然主义的"
neatness,"n. 整洁, 干净"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
negotiation,"n. 谈判, 磋商, 交涉
"
niggle,"vi. 闲混, 为琐事费时, 吹毛求疵, 拘泥小节
vt. 玩忽, 小气地给..."
nomadic,"a. 游牧的, 游牧生活的, 流浪的
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nonpolitical,a. 非政治性的
nonrefundable,a. 不可归还的
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
notational,[计] 记数的
noticeably,"adv. 显而易见, 值得注意, 重要, 显著"
notification,"n. 通知, 通告, 告示
"
novelty,"n. 新奇, 新鲜, 新奇的事物"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
numerate,"vt. 算出来, 列举, 读出"
obedient,"a. 服从的, 顺从的, 孝顺的
"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
obsession,"n. 困扰, 困扰人的情绪
"
obstacle,"n. 障碍, 妨害物, 阻碍"
occupationally,adv. 职业引起地
oddly,adv. 奇怪地
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
oftcited,无
oily,"a. 油的, 油滑的, 油嘴的
"
onset,"n. 开始, 攻击, 进攻
"
onshore,"a. 向陆的, 陆上的, 在国内的
adv. 向陆地, 在陆上, 在国内"
onslaught,"n. 突击, 猛击, 猛攻"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
outing,"n. 郊游, 远足
a. 远足适用的"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
overcrowded,"a. 挤满的; 过度拥挤的
v. 拥挤(overcrowd的过去式和过去分词)"
overdone,overdo的过去分词
overlying,"躺在...上面, 压在...上面, 覆在...上面
"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
overstaffed,"a. （指办公室等）超编的, 人浮于事的"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
ownership,"n. 所有权, 物主身份
"
oxygenated,a. 充了氧的；氧化的；充满氧气的
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
pamper,"vt. 放纵, 使吃饱, 使过量"
pamphlet,"n. 小册子, 活页文选"
panting,"[医] 气促, 呼吸困难"
paraconsciously,无
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
paralysed,"a. 麻痹的, 惊呆的, 瘫痪的, (美)(非正式)喝得烂醉的"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
patriotic,"a. 爱国的, 有爱国心的
"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
pavilion,"n. 楼阁, 亭子, 大帐篷, 观众席
vt. 置...于亭中, 搭帐篷, 笼罩"
paycheck,"n. 付薪水的支票, 薪水"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
peripherally,"adv. 外围地, 外面地"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
perquisite,"n. 额外补贴, 特殊待遇, 外快
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
persistently,adv. 坚持地; 固执地; 一个劲儿
peruse,"vt. 熟读, 精读, 阅读, 仔细研究"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
perversely,adv. 倔强地
physiology,"n. 生理学, 生理机能
"
pickings,n. 轻易挣得的或来路不正的财物、好处、利益等； 残留的食物等; 采摘( picking的复数形式 )
pictorial,"a. 绘画的, 插图的, 用图画表示的, 形象化的, 有象形文字特征的
n. 画报, 画刊, 有图邮票, 插图杂志, 插图报纸"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
piercing,"a. 尖厉的, 刺耳的, 刺骨的, 刺穿的, 敏锐的, 彻骨的, 辛辣的, 讽刺的
"
pinprick,"n. 针刺孔, 针扎, 小刺激, 小烦恼"
plagiarise,"vi.vt. 剽窃, 抄袭"
playmate,"n. 玩伴, 游伴"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
plush,"n. 长毛绒, 长毛绒裤
a. 长毛绒制的, 豪华的"
poised,"a. 平衡的, 均衡的, [表]作好准备的, (褒)沉着的, 泰然自若的, 自信的"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
pollinate,vt. 对...授粉
populace,"n. 平民, 大众, 人口"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
portrayal,"n. 描绘, 描写, 画像, 肖像
"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
precarious,"a. 不稳定的, 不安的, 危险的"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
predicate,"n. 谓语, 谓项
a. 谓语的
vt. 断定为, 使基于, 意味着, 预言
vi. 断言
"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
preferably,"adv. 更可取地, 更好地, 更合意地"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
preoccupation,"n. 抢先占据, 先人之见, 入神
"
prepay,"vt. 先付, 预付, 预缴
"
presently,"adv. 目前, 不久"
pretender,"n. 冒牌者, 妄想者, 觊觎王位者
"
preventative,"a. 预防的, 防止的
n. 预防法, 预防措施, 预防物, 预防药"
primal,"a. 主要的, 最初的, 原始的"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
processor,"n. 信息处理机, 加工者, 处理者
"
procrastination,"n. 拖延, 因循, 耽搁
"
prodigious,"a. 庞大的, 惊人的, 异常的"
profitably,"adv. 有利地, 有益地"
progressively,"adv. 进步, 先进, 向前进, 不断前进, 累进, 渐进, 逐渐, 渐次, 主张进步, 进行性"
prohibitive,"a. 禁止的, 禁止性的
"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
"
pronunciation,"n. 发音, 读法"
prop,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨
vt. 支撑, 维持"
propellant,"n. 推进剂, 发射火药, 推进者
"
prospectus,"n. 创办计划书, (内容)说明书, 内容简介
"
proximity,"n. 接近, 亲近"
proxy,"n. 代理, 代理人, 委托书
"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
pulverise,"vt.vi. 使成粉末, 研磨, 把...压成粉末
vt. (非正式)粉碎, 彻底打败, 彻底摧毁
vi. 变成尘埃"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
puppetry,"n. 木偶, 傀儡"
purist,n. 纯粹主义者
pyrotechnics,"n. 烟火制造术, 烟火使用"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
rationale,"n. 基本原理
"
reactive,"a. 反动的, 反应的
"
realm,"n. 王国, 领土, 领域
"
reassure,"vt. 使...安心, 向...再保证
"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
reciprocity,"n. 相互性, 相互作用, 互惠主义
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
recourse,"n. 求援, 求助, 追索权
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
referendum,n. （就重大政治或社会问题进行的）全民公决，全民投票
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
rekindle,"vt. 再点火, 重新激起
vi. 重新燃烧"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
repatriate,"vt. 把...遣返
vi. 回国
n. 被遣返回国者"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
reputable,"a. 受好评的, 有声望的, 规范的
"
resilience,"n. 弹回, 有弹力, 恢复力
"
reticence,"n. 无言, 沉默, 勉强"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
rift,"n. 裂口, 空隙
vi. 裂开
vt. 使分开, 使割开"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
rumour,"n. 谣言, 传闻
vt. 谣传"
sabbatical,"a. 安息日的, 休假的"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
sampling,
sanitary,"a. 卫生的
n. 公共厕所"
satisfactory,"a. 满意的, 赎罪的
"
scamper,"n. 蹦跳, 奔跑, 浏览
vi. 蹦跳, 奔跑, 浏览"
scavenge,"vt. 打扫, 排除废气, 在...中找有用之物, 以...为食, 清除
vi. 清扫"
scenic,"a. 风景好的, 戏剧性的, 舞台的, 布景的
n. 风光影片, 风景照片"
sceptic,n. 怀疑论者
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
scrupulous,"a. 小心谨慎的, 细心的"
scuffle,"vi. 扭打, 混战, 拖着脚走, 敷衍了事
n. 扭打, 混战, 拖着脚走"
seasonality, 季节性
secretarial,"a. 秘书的, 书记的"
selfless,"a. 不顾自己的, 无私的"
sensor,"n. 传感器
"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
sewage,"n. 脏水, 污水
"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
shady,"a. 荫凉的, 成荫的, 阴暗的, 隐蔽的
"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
shovel,"n. 铲, 铁铲
v. 铲"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
signature,"n. 签字, 识别标志, 调号
"
signification,"n. 含义, 意义, 表示"
signpost,"n. 招牌柱, 广告柱, 路标"
simulate,"vt. 模拟, 假装, 模仿
"
skillfully,adv. 巧妙地；精巧地
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
slang,"n. 俚语
v. 辱骂, 用俚语说"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
slither,"vi. 不稳地滑动
vt. 使滑动"
slop,"n. 外衣, 工作服, 泥浆, 污水, 过分热情, 口若悬河
vi. 溅出, 踏着泥泞前进
vt. 使溢出, 使溅出, 弄脏"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
socialism,"n. 社会主义, 社会主义运动"
solemnly,adv. 庄严地；严肃地
specialisation,n. <主英> =specialization
spinal,"a. 针的, 尖刺的, 尖刺状突起的, 脊骨的
"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
splendour,"n. 光辉, 壮丽, 显赫"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
sporadically,adv. 偶发地；零星地
sprint,"n. 短距离赛跑
vi. 全速跑, 冲刺
vt. 全速跑过"
staggering,"a. 蹒跚的, 巨大的, 惊人的
"
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
"
stainless,"a. 无瑕疵的, 不锈的
"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
starkly,"adv. 完全, 分明地, 赤裸裸地"
sterilisable,"可杀菌的
可绝育的"
sticky,"a. 粘的, 有粘性的, 顽固的"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
straightaway,"n. 直道
a. 直线行进的, 通俗易懂的, 立刻的"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
stricken,"a. 受打击的, 负了伤的, 衰老的, 受灾的
strike的过去分词"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
stripe,"n. 斑纹, 条纹
"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
subtitles,"n. 说明字幕, 印在外国影片上的对白翻译字幕, 译文对白字幕"
successive,"a. 继承的, 连续的
"
suckle,"vt. 哺乳, 养育, 吮吸
"
suffice,"vi. 足够, 有能力
vt. 满足"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
survivor,"n. 生还者, 幸存者
"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
swivel,"n. 转环, 旋转轴承, 转椅座架
v. (使)旋转"
tactics,"n. 用兵学, 战术, 兵法
"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
technician,"n. 技师
"
tectonic,"a. 构造的, 建筑的
"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
tenable,"a. 可守的, 站得住(脚)的, 合理的, 成立的"
tenet,"n. 信条, 教义, 宗旨, 原则"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
testament,"n. 遗嘱, <<圣约书>>
"
thatch,"n. 盖屋顶的茅草, 用草盖的屋顶, 浓密头发
vt. 用茅草覆盖"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
threshold,"n. 门槛, 入口, 开端, 阈
"
thrifty,"a. 节俭的, 兴旺的, 繁茂的"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
torch,"n. 火把, 启发之物
"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
tranquilliser,"n. 镇静剂, 安定药, 止痛药"
transferable,"a. 可转移的
"
triumphant,"a. 得胜的, 得意洋洋的"
tropospheric,[气]对流层的
troublesome,"a. 麻烦的, 令人讨厌的"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
turbid,"a. 浑浊的, 污浊的, 混乱的, 雾重的
"
tweak,"n. 拧, 扭, 焦急
vt. 扭, 开足马力"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
uncompromising,"a. 不让步的, 不妥协的, 坚定的
"
unconquerable,"a. 不可征服的, 克服不了的, 压制不了的"
undue,"a. 不适当的, 过度的, 未到期的
"
unfit,"a. 不适当的, 不胜任的, 不健康的
vt. 使不相宜, 使不合格"
unimpeded,"[法] 无阻的, 不受阻的"
unleash,"vt. 解开...的皮带, 发出, 发动"
unprejudiced,"a. 无偏见的, 没有成见的, 公正的
"
unrivalled,"a. 无敌的, 无双的, 无可匹敌的, 无比的, 至高无上的, 极好的"
unscathed,"a. 没有受伤的, 未受损伤的"
unsolicited,"a. 未经请求的, 主动提供的
"
unswerving,"a. 不歪的, 不走歪的, 不编离的, 始终不渝的"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
urgency,"n. 紧急, 催促
"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
vandalism,"n. 故意毁坏文物的行为, 破坏他人财产的行为"
variability,"n. 易变, 变化性, 变异性
"
vend,"v. 出售, 从事贩卖"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
veracity,"n. 说话老实, 老实, 诚实"
veranda,"n. 阳台, 走廊"
versatile,"a. 多才多艺的, 万用的, 万向的"
vested,"a. 穿衣服的, 既得的, 既定的
"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
vexingly,adv. vex的变形
vicissitude,"n. 变化无常, 变迁, 荣枯, 盛衰"
victimise,"vt. 使牺牲, 迫害, 使受害, 欺骗, 欺压"
villa,n. 别墅
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
vitality,"n. 活力, 生命力
"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
wade,"vi. 跋涉
vt. 涉水
n. 跋涉, 浅滩"
waist,"n. 腰部, 腰
"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
watertight,"a. 不透水的, 不漏水的, 无懈可击的
"
wean,"vt. 使断奶, 使丢弃, 使断念
n. 小儿"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
