appropriate,"a. 适当的
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
skull,"n. 头盖骨, 头脑, 好学生
"
depict,"vt. 描述, 描写"
satire,"n. 讽刺文学, 讽刺"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
grotesque,"n. 奇异风格, 怪异图案
a. 奇怪的, 可笑的"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
chaos,"n. 大混乱, 混沌
"
staid,"a. 认真的, 沉着的, 固定的"
therapeutic,"a. 治疗的, 有益于健康的
"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
gamut,"n. 音阶, 整个范围, 全部, 音域"
aesthetical,"a. 美学的, 艺术的, 美的, 审美的"
pin down,na. 强迫(人)承认
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
canvas,"n. 帆布, 画布, 油画
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
hallucinogenic,[医] 引起幻觉的
posterity,"n. 子孙, 后裔
"
revulsion,"n. 剧变, 厌恶, 强烈反感
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
prehistoric,"a. 历史以前的, 史前的"
patron,"n. 赞助人, 顾客, 保护人
"
coronation,n. 加冕礼
baptism,"n. 浸礼, 洗礼"
propaganda,"n. 宣传, 宣传活动
"
lobbyist,"n. 说客
"
epitomize,"vt. 摘要, 概括"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
expressionist,"n. 表现派作家
a. 表现主义的"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
bandy,"a. 向外弯曲的
vt. 打来打去, 谈论, 往复投掷"
interchangeable,"a. 可互换的
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
brushwork,"n. 笔法, 绘画"
solitary,"n. 独居者
a. 孤独的, 独居的"
visual,"a. 视觉的
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
liner perspective,无
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
horizon,"n. 地平线, 眼界, (天)视地平"
vanishing point,"没影点, 尽头"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
vertical edge,[网络] 垂直边沿；垂直边界
parallel line,[机] 平行线
converge,"vi. 聚合, 集中于一点
vt. 使集合"
splay,"vt. 展开, 张开, 使成八字形
vi. 伸展开
n. 展开
a. 八字形的, 倾斜的"
intersection,"n. 交集, 十字路口, 交叉点
"
geometrical,"a. 几何学的, 几何的
"
progression,"n. 前进, 连续, 级数
"
optical,"a. 眼睛的, 视觉的, 光学的
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
concede,"vt. 承认, 退让
vi. 让步"
demonstrate,"vt. 示范, 证明
vi. 示威"
landmark,"n. 陆标, 划时代的事, 地界标
"
oppression,"n. 压抑, 沉闷, 压迫手段
"
emotionalism,"n. 感情主义, 易动感情"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
prohibition,"n. 禁令, 禁止"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
dignity,"n. 尊严, 高贵
"
assassination,"n. 暗杀
"
devastate,"vt. 毁坏
"
solemn,"a. 严肃的, 郑重的, 庄严的"
wreckage,"n. 残骸, 失事, 破坏
"
ominous,"a. 恶兆的, 不吉利的, 预兆的"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
collaborate,"vi. 合作, 勾结
"
bloc,n. 集团
resurgence,"n. 再起, 复活, 再现"
existentialist,n. 存在主义者
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
cohabitation,[医] 同居
premier,"n. 总理, 首相
a. 首位的, 最初的"
poetry,"n. 诗, 韵文, 诗歌艺术"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
biography,n. 传记
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
fiction,"n. 小说, 虚构故事
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
appreciation,"n. 感激, 赏识, 鉴别
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
blockbuster,n. 巨型炸弹
figurative language,[计] 图象语言
device,"n. 装置, 设计, 策略, 发明物, 设备
"
simile,"n. 明喻, 明喻说法"
personification,"n. 拟人, 人格化, 拟人法, 化身, 象征"
chronological sequence,时间顺序
flashback,"n. 倒叙, 火舌回闪
"
integrated tale,无
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
complicity,"n. 同谋, 串通, 复杂
"
critical approach,无
archetype,n. 原型
scapegoat,"n. 替罪羔羊, 替人顶罪者, 替身
"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
protagonist,"n. 主人公, 主角, 领导者"
antagonist,"n. 敌手, 对手
"
symbolism,"n. 象征主义, 符号论
"
fragility,"n. 脆弱, 虚弱
"
major character,主要特征
miner character,无
villain,"n. 坏人, 恶棍
"
quirk,"n. 古怪举动, 俏皮话, 急转"
motif,"n. 主题, 基调, 动机, 基本图案
"
speculate,"vi. 深思, 推测, 投机
"
temperament,"n. 气质, 性格, 性情
"
embody,"vt. 具体表达, 使具体化
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
competency,"n. 足以使人过舒适生活的富裕收入, 充裕的生活条件
"
decode,"vt. 解码, 译解
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
charming,"a. 迷人的, 有吸引力的"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
illustration,"n. 例证, 插图
"
sophisticate,"n. 久经世故的人, 精于...之道的人
vt. 篡改, 曲解, 使变得世故, 掺合, 弄复杂
vi. 诡辩"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
sonnet,n. 十四行诗
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
allegorical,"a. 寓言的, 讽喻的"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
fragment,"n. 碎片, 破片, 片段
"
allusion,"n. 提及, 暗指"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
flagrant,"a. 极端明显的, 不能容忍的, 恶名昭著的
"
debauchery,"n. 放荡, 堕落"
shortcut,"n. 捷径, 最短路线
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
brainstorm,"n. 灵机一动
v. 集体讨论"
anecdote,"n. 轶事, 奇闻"
plagiarize,"v. 剽窃, 抄袭"
remedial,"a. 治疗的, 补救的, 矫正的
"
literature review,[网络] 文献综述；文献回顾；文献探讨
dissertation,n. 论文
methodology,"n. 方法学, 方法论
"
chapter,"n. 章, 篇, 重要章节
"
thematically,adv. 主题上；主题方面
publication,"n. 出版物, 出版, 公布
"
thematic,"a. 题目的, 主题的, 主旋律的"
tantamount,"a. 同等的, 相等的, 相当于...的
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
benchmark,[计] 基准程序; 基准
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
equation,"n. 相等, 等式, 平衡
"
formula,"n. 客套语, 公式, 准则
"
calculation,"n. 计算, 考虑, 计算的结果
"
introductory,"a. 介绍的, 引导的, 开端的"
explanatory,"a. 说明的, 解释的, 辩明的
"
hypothesis,"n. 假设
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
procrastination,"n. 拖延, 因循, 耽搁
"
sloppy,"a. 泥泞的, 潮湿的, 粗心的"
citation,"n. 引用, 引证, 引用文
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
questionnaire,"n. 调查表, 问卷
"
commemorative,a. 纪念的
bold,"a. 大胆的
n. 粗体
"
italics,n. 斜体字
underlining,[计] 加下线
extracurricular activities,[网络] 课外活动；课外社团活动专题；课外活动组
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
blazer,"n. 燃烧体, 颜色鲜明的上装, 宣布者"
feedback,"n. 反馈, 反应
"
tangent,"a. 接触的, 正切的, 离题的
n. 切线, 正切"
sift,"vt. 筛, 过滤, 撒, 详查
vi. 筛, 被筛下, 精选"
garble,"vt. 断章取义, 混淆
"
disturbance,"n. 扰乱, 不安, 忧虑
"
reception,"n. 接待, 接受, 招待会
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
ramble,"n. 漫步, 随笔
vi. 漫步, 漫谈, 漫游, 蔓延
vt. 闲逛于"
transparency,"n. 透明, 透明度, 透过性, 透明物, 清晰
"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
defendant,"n. 被告
"
flummox,"vt. 使狼狈, 使失措, 使混乱, 挫败
n. 失败"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
coeducation,n. 男女同校
collaborative,"a. 合作的, 协作的"
orchestra,"n. 管弦乐队, 乐队演奏处"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
endowment,"n. 捐助, 天赋, 才能
"
summer internship,无
intramural,"a. 校内的, 内部的
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
onerous,"a. 繁重的, 负有法律责任的
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
informative abstract,[计] 信息摘要
bulletin,"n. 公告, 布告, 公报
"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
prospectus,"n. 创办计划书, (内容)说明书, 内容简介
"
answer back,"na. 回嘴；顶嘴
"
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
answer to,"与…一致,符合;因…而起作用"
in answer to,"回答, 响应"
ask after,探问
ask for,"na. 要(价)；来找
"
ask around, 到处打听
bear on,"使难以承受负荷, 有关, 瞄准
"
bear upon,"使难以承受负荷, 有关, 瞄准"
bear out,"na. 证明
"
bear up,"承受, 使振作, 始终忠于, 驶向下风"
bear with,[法] 忍耐
break away from,"摆脱,脱离"
break down,"v. 分解；抛锚；分析；划分
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring on,"na. “bring forward”的变体
"
bring up,"na. 抚养；教导；教育；在…长大
"
call back,"na. 取消；喊回；回一个电话；再打一个电话来
"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"号召, 呼吁, 约请, 访问"
call upon," 号召, 拜访; 省视"
call out,"召唤...行动, 唤起, 大声叫唤"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
catch at,"试图抓住, 死命抓住"
catch on,"变得流行, 理解, 明白"
catch out,"na. 接住球使击球员退出；看破
"
catch up with,赶上
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
check in,"登记, 报到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up,"核对, 检查
"
check on,"检查,核对"
check over," 核对, 仔细检查"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear out,"na. 清空；腾空；清理；〈非正式〉匆忙离开
"
clear up,"na. 整顿；说明；(天气)转晴
"
come across,偶遇
come off,"发生, 举行, 表现, 结果"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
come upon,"偶遇, 袭击, 要求, 成为...负担"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
crack down," 采取严厉措施, 制裁; 打击"
crack up,"na. 夸奖；吹捧某人；(人,身体等)疲惫不堪；〔美俚〕(飞机)坠毁
"
cut across,抄近路通过
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
drop by,随便访问
drop in,顺便走访
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"掉出, 退出, 离队
"
fall back,"后退, 退却
"
fall behind,"落在后面, 拖欠"
fall for," 上当, 听信; 爱上"
fall on,"落在…之上;攻击,袭击"
fall upon," 开始行动, 进攻"
fall out,"脱落, 离队, 争吵, 结果是
"
fall through,"失败, 失约"
fall to,"着手干, 开始进食"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get along,"生活, 融洽相处"
get away,"离开, 逃脱, 起跑, 出发"
get away with,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
get back,"na. 取回；回来；送回；〈俚〉报复
"
get back at,"报复,对…进行报复"
get by,"通过, 混过"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on with, 继续（干某事）; 和…友好相处
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get round to, 设法找到足够的时间去做（某事）; 说服
get through,"做完, 通过, 度过"
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give in,"na. 让步；屈服；投降；上交
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give up,"na. 放弃；断绝；投降；自首
"
give off,"na. 发散(水蒸气等)
"
go about,"从事, 走动, 传开"
go after,"追逐, 追求"
go against,"反对, 违反, 不利于"
go ahead,前进
go along,"前进, 进行"
go around,"漫步,闲逛,绕圈子"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
"
go back on,"违约, 背弃"
go by,"走过, 依照, 顺便走访"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
go in for,"参加, 追求, 从事, 赞成"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go over,"转变, 仔细检查, 润色, 复习"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
hand down,"na. 宣布(判决等)；传下来
"
hand over,交出；移交
have had it,"吃够了苦头, 受到了致命打击, 陈旧不堪, 损坏, 死亡, 人已过时, 无希望"
have it in for,〈口〉想伤害某人; 想与某人过不去
have on,"v. 戏弄
"
jump on,扑向
get the jump on,抢在...之前行动
jump the queue,"插队, 获得优惠待遇"
keep at,"na. 纠缠；坚持地做
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep off,"让开, 不接近"
keep on,na. 继续；穿
keep to,"v. 坚持；固守
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"跟上
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay aside,"na. 保存；放在一边；丢弃；留着
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let be,"na. 听任
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let down,"na. 使失望；放下；丢面子
"
let out,[网络] 阿尔都塞思想的全部整体
look after,"目送, 照顾, 关心"
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look for,"寻找, 期待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into,"窥视, 浏览, 观察
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
look over,"na. 浏览；检查；察看
"
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
look ahead,"向前看, 着眼未来"
look back,"回顾, 三心二意
"
be made from,"用…制造,由…制成"
be made of,由...所组成
make one's way,"前进, 行进, 成功, 发迹"
make believe,"假装
"
make for,"走向, 有利于, 倾向于"
make ... into,"na. 制成；使转变为
"
make it,"及时抵达, 做成"
make out,"na. 理解；发现；起草；证明
"
make up,"na. 弥补；起草；定；签订
"
make up for,"补偿,弥补"
make up of, 构成，组成
be made up of,由...所组成
move along,"继续向前或后移动, 往里走"
move off,"离开, 死, 畅销"
move on,继续前进
move out,"搬出, 出发"
pick on,"作弄, 惹恼, 找...的岔子, 选中, 总是挑剔
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
pull up,"v. 拔起；使…停下
"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull through,"(使)渡过难关, (使)恢复健康"
pull together,齐心协力
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put through,"na. 经受；测试；试验；使…通过
"
put up,"adj. 预先商定的
"
put up with,"忍受, 容忍
"
run across,"偶遇, 跑着穿过"
run after,"追捕, 追求, 照顾"
run away,"潜逃
"
run away with,"带...潜逃, 轻易获得, 消耗, 轻易接受, 失控
"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run out,"na. 耗尽；用光；过有效期；失效
"
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
run up to,"跑到, 达到, 积累到"
in the long run,"长远, 最后"
in the short run,从短期看
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
